date,Real Middle Band,Real Upper Band,Real Lower Band
2020-01-31,284.9062,328.7994,241.0129
2020-01-30,284.0393,328.0089,240.0697
2020-01-29,282.9052,326.2123,239.5981
2020-01-28,281.6455,324.4523,238.8387
2020-01-27,280.405,323.2756,237.5344
2020-01-24,279.3107,322.5612,236.0601
2020-01-23,278.1563,320.8755,235.4371
2020-01-22,276.9455,319.0533,234.8377
2020-01-21,275.7102,317.3089,234.1115
2020-01-17,274.487,315.5201,233.4539
2020-01-16,273.1742,313.4953,232.853
2020-01-15,271.9287,311.5866,232.2707
2020-01-14,270.6798,310.0126,231.347
2020-01-13,269.3898,308.2016,230.578
2020-01-10,268.0133,305.8244,230.2023
2020-01-09,266.7632,303.8482,229.6781
2020-01-08,265.5338,301.7329,229.3347
2020-01-07,264.4175,300.0291,228.8059
2020-01-06,263.2792,298.8406,227.7177
2020-01-03,262.0663,297.5264,226.6063
2020-01-02,260.8492,296.3837,225.3147
2019-12-31,259.6277,294.6823,224.5731
2019-12-30,258.517,293.4119,223.6221
2019-12-27,257.3387,292.4702,222.2072
2019-12-26,256.158,291.6064,220.7096
2019-12-24,255.0693,290.3162,219.8225
2019-12-23,254.0643,289.3621,218.7666
2019-12-20,252.978,288.5347,217.4213
2019-12-19,251.9855,287.8553,216.1157
2019-12-18,251.0023,286.9782,215.0264
2019-12-17,249.968,286.1475,213.7885
2019-12-16,248.9398,285.1067,212.773
2019-12-13,247.9043,284.0284,211.7802
2019-12-12,247.0012,283.065,210.9373
2019-12-11,246.1897,282.2067,210.1726
2019-12-10,245.3552,281.3757,209.3347
2019-12-09,244.5455,280.6343,208.4567
2019-12-06,243.7427,279.9478,207.5376
2019-12-05,242.9489,278.8412,207.0566
2019-12-04,242.2491,277.9861,206.512
2019-12-03,241.4984,277.4577,205.5391
2019-12-02,240.7437,277.0632,204.4243
2019-11-29,239.8954,276.3649,203.4259
2019-11-27,238.9959,275.3845,202.6073
2019-11-26,238.0184,274.4062,201.6307
2019-11-25,237.0419,273.7008,200.3831
2019-11-22,236.0814,272.636,199.5268
2019-11-21,235.2019,271.7803,198.6236
2019-11-20,234.2606,270.9377,197.5834
2019-11-19,233.2767,269.964,196.5895
2019-11-18,232.2801,268.5727,195.9875
2019-11-15,231.2057,267.1262,195.2853
2019-11-14,230.3174,265.4023,195.2325
2019-11-13,229.4841,263.8258,195.1424
2019-11-12,228.5822,262.0319,195.1326
2019-11-11,227.7221,260.3382,195.106
2019-11-08,226.7937,258.5922,194.9953
