date,APO
2000-03-07 00:00:00,4.5835
2000-03-08 00:00:00,4.7774
2000-03-09 00:00:00,4.6346
2000-03-10 00:00:00,4.3901
2000-03-13 00:00:00,4.2069
2000-03-14 00:00:00,4.2899
2000-03-15 00:00:00,4.4556
2000-03-16 00:00:00,4.7767
2000-03-17 00:00:00,3.858
2000-03-20 00:00:00,3.576
2000-03-21 00:00:00,3.147
2000-03-22 00:00:00,3.5971
2000-03-23 00:00:00,4.2757
2000-03-24 00:00:00,4.7215
2000-03-27 00:00:00,5.2144
2000-03-28 00:00:00,5.2571
2000-03-29 00:00:00,5.6251
2000-03-30 00:00:00,6.2181
2000-03-31 00:00:00,7.0554
2000-04-03 00:00:00,7.1522
2000-04-04 00:00:00,6.804
2000-04-05 00:00:00,6.8128
2000-04-06 00:00:00,6.1972
2000-04-07 00:00:00,4.7856
2000-04-10 00:00:00,3.5418
2000-04-11 00:00:00,2.178
2000-04-12 00:00:00,0.176
2000-04-13 00:00:00,-1.619
2000-04-14 00:00:00,-3.2256
2000-04-17 00:00:00,-3.3099
2000-04-18 00:00:00,-4.2688
2000-04-19 00:00:00,-5.5488
2000-04-20 00:00:00,-6.3529
2000-04-24 00:00:00,-7.1355
2000-04-25 00:00:00,-7.0028
2000-04-26 00:00:00,-7.8078
2000-04-27 00:00:00,-7.347
2000-04-28 00:00:00,-6.1878
2000-05-01 00:00:00,-4.2789
2000-05-02 00:00:00,-3.1398
2000-05-03 00:00:00,-1.9317
2000-05-04 00:00:00,-1.9362
2000-05-05 00:00:00,-2.2043
2000-05-08 00:00:00,-2.5198
2000-05-09 00:00:00,-2.4709
2000-05-10 00:00:00,-2.929
2000-05-11 00:00:00,-4.1117
2000-05-12 00:00:00,-4.3772
2000-05-15 00:00:00,-5.5926
2000-05-16 00:00:00,-6.1212
2000-05-17 00:00:00,-7.124
2000-05-18 00:00:00,-7.8318
2000-05-19 00:00:00,-9.0003
2000-05-22 00:00:00,-9.8113
2000-05-23 00:00:00,-11.0849
2000-05-24 00:00:00,-11.5625
2000-05-25 00:00:00,-11.5536
2000-05-26 00:00:00,-11.2954
2000-05-30 00:00:00,-11.362
2000-05-31 00:00:00,-11.9265
2000-06-01 00:00:00,-11.4092
2000-06-02 00:00:00,-11.3976
2000-06-05 00:00:00,-10.8728
2000-06-06 00:00:00,-10.3299
2000-06-07 00:00:00,-9.0492
2000-06-08 00:00:00,-7.7565
2000-06-09 00:00:00,-6.1854
2000-06-12 00:00:00,-5.1438
2000-06-13 00:00:00,-3.8251
2000-06-14 00:00:00,-2.729
2000-06-15 00:00:00,-1.8255
2000-06-16 00:00:00,-0.914
2000-06-19 00:00:00,-0.051
2000-06-20 00:00:00,0.9182
2000-06-21 00:00:00,-0.3101
2000-06-22 00:00:00,-1.5724
2000-06-23 00:00:00,-3.4008
2000-06-26 00:00:00,-4.9978
2000-06-27 00:00:00,-7.0394
2000-06-28 00:00:00,-8.7365
2000-06-29 00:00:00,-11.0115
2000-06-30 00:00:00,-12.8251
2000-07-03 00:00:00,-14.7739
2000-07-05 00:00:00,-16.7344
2000-07-06 00:00:00,-19.0936
2000-07-07 00:00:00,-21.8575
2000-07-10 00:00:00,-20.5021
2000-07-11 00:00:00,-18.8663
2000-07-12 00:00:00,-17.0198
2000-07-13 00:00:00,-15.4235
2000-07-14 00:00:00,-13.4335
2000-07-17 00:00:00,-11.7071
2000-07-18 00:00:00,-9.7263
2000-07-19 00:00:00,-8.2197
2000-07-20 00:00:00,-6.5538
2000-07-21 00:00:00,-4.9746
2000-07-24 00:00:00,-3.5546
2000-07-25 00:00:00,-2.3376
2000-07-26 00:00:00,-1.136
2000-07-27 00:00:00,0.3465
2000-07-28 00:00:00,-0.2528
2000-07-31 00:00:00,-0.6138
2000-08-01 00:00:00,-1.2206
2000-08-02 00:00:00,-1.8777
2000-08-03 00:00:00,-2.5043
2000-08-04 00:00:00,-2.6753
2000-08-07 00:00:00,-3.1471
2000-08-08 00:00:00,-3.4981
2000-08-09 00:00:00,-3.3738
2000-08-10 00:00:00,-3.4256
2000-08-11 00:00:00,-3.4646
2000-08-14 00:00:00,-3.5924
2000-08-15 00:00:00,-3.3259
2000-08-16 00:00:00,-3.1938
2000-08-17 00:00:00,-2.7301
2000-08-18 00:00:00,-2.251
2000-08-21 00:00:00,-1.7661
2000-08-22 00:00:00,-1.1523
2000-08-23 00:00:00,-0.5084
2000-08-24 00:00:00,0.1401
2000-08-25 00:00:00,0.8513
2000-08-28 00:00:00,1.5532
2000-08-29 00:00:00,2.1077
2000-08-30 00:00:00,2.7813
2000-08-31 00:00:00,3.5503
2000-09-01 00:00:00,4.3553
2000-09-05 00:00:00,4.7285
2000-09-06 00:00:00,5.1384
2000-09-07 00:00:00,5.6087
2000-09-08 00:00:00,5.7605
2000-09-11 00:00:00,5.7031
2000-09-12 00:00:00,5.441
2000-09-13 00:00:00,5.1532
2000-09-14 00:00:00,4.6644
2000-09-15 00:00:00,4.0371
2000-09-18 00:00:00,3.6299
2000-09-19 00:00:00,3.0754
2000-09-20 00:00:00,2.3381
2000-09-21 00:00:00,1.4744
2000-09-22 00:00:00,0.8116
2000-09-25 00:00:00,0.024
2000-09-26 00:00:00,-0.6513
2000-09-27 00:00:00,-1.383
2000-09-28 00:00:00,-1.8068
2000-09-29 00:00:00,-3.3958
2000-10-02 00:00:00,-4.8879
2000-10-03 00:00:00,-6.3044
2000-10-04 00:00:00,-8.0664
2000-10-05 00:00:00,-9.795
2000-10-06 00:00:00,-11.5983
2000-10-09 00:00:00,-13.0027
2000-10-10 00:00:00,-13.9754
2000-10-11 00:00:00,-15.1518
2000-10-12 00:00:00,-16.2933
2000-10-13 00:00:00,-16.9972
2000-10-16 00:00:00,-18.2262
2000-10-17 00:00:00,-17.2215
2000-10-18 00:00:00,-16.1183
2000-10-19 00:00:00,-14.8969
2000-10-20 00:00:00,-13.8033
2000-10-23 00:00:00,-12.6033
2000-10-24 00:00:00,-11.2727
2000-10-25 00:00:00,-9.9497
2000-10-26 00:00:00,-8.5106
2000-10-27 00:00:00,-7.1324
2000-10-30 00:00:00,-5.9253
2000-10-31 00:00:00,-4.8283
2000-11-01 00:00:00,-3.7216
2000-11-02 00:00:00,-2.5149
2000-11-03 00:00:00,-1.1354
2000-11-06 00:00:00,-0.7613
2000-11-07 00:00:00,-0.4974
2000-11-08 00:00:00,-0.4367
2000-11-09 00:00:00,-0.1948
2000-11-10 00:00:00,-0.0328
2000-11-13 00:00:00,0.1482
2000-11-14 00:00:00,0.3467
2000-11-15 00:00:00,0.4319
2000-11-16 00:00:00,0.409
2000-11-17 00:00:00,0.3001
2000-11-20 00:00:00,0.1392
2000-11-21 00:00:00,-0.044
2000-11-22 00:00:00,-0.2267
2000-11-24 00:00:00,-0.3622
2000-11-27 00:00:00,-0.4667
