date,MACD,MACD_Signal,MACD_Hist
2020-02-03 13:00:23,7.1787,9.1853,-2.0067
2020-01-31 00:00:00,8.311,9.687,-1.376
2020-01-30 00:00:00,9.5508,10.031,-0.4802
2020-01-29 00:00:00,9.5322,10.151,-0.6188
2020-01-28 00:00:00,9.322,10.3057,-0.9837
2020-01-27 00:00:00,9.5952,10.5517,-0.9564
2020-01-24 00:00:00,10.6943,10.7908,-0.0965
2020-01-23 00:00:00,10.9885,10.8149,0.1736
2020-01-22 00:00:00,11.1105,10.7715,0.339
2020-01-21 00:00:00,11.2604,10.6868,0.5736
2020-01-17 00:00:00,11.403,10.5434,0.8596
2020-01-16 00:00:00,11.1992,10.3284,0.8707
2020-01-15 00:00:00,11.1315,10.1108,1.0208
2020-01-14 00:00:00,11.2803,9.8556,1.4248
2020-01-13 00:00:00,11.1698,9.4994,1.6704
2020-01-10 00:00:00,10.4304,9.0818,1.3486
2020-01-09 00:00:00,10.01,8.7446,1.2654
2020-01-08 00:00:00,9.3991,8.4283,0.9709
2020-01-07 00:00:00,9.1384,8.1856,0.9529
2020-01-06 00:00:00,9.1614,7.9473,1.2141
2020-01-03 00:00:00,8.914,7.6438,1.2702
2020-01-02 00:00:00,8.7099,7.3263,1.3836
2019-12-31 00:00:00,8.0253,6.9804,1.0449
2019-12-30 00:00:00,7.717,6.7191,0.9979
2019-12-27 00:00:00,7.4281,6.4697,0.9585
2019-12-26 00:00:00,7.1265,6.23,0.8964
2019-12-24 00:00:00,6.6266,6.0059,0.6207
2019-12-23 00:00:00,6.4665,5.8508,0.6157
2019-12-20 00:00:00,6.1955,5.6968,0.4987
2019-12-19 00:00:00,6.2239,5.5722,0.6517
2019-12-18 00:00:00,6.1104,5.4092,0.7012
2019-12-17 00:00:00,5.9053,5.2339,0.6714
2019-12-16 00:00:00,5.4894,5.0661,0.4233
2019-12-13 00:00:00,4.9346,4.9603,-0.0256
2019-12-12 00:00:00,4.6344,4.9667,-0.3323
2019-12-11 00:00:00,4.5594,5.0497,-0.4903
2019-12-10 00:00:00,4.4677,5.1723,-0.7046
2019-12-09 00:00:00,4.5189,5.3484,-0.8296
2019-12-06 00:00:00,4.6772,5.5558,-0.8786
2019-12-05 00:00:00,4.4254,5.7755,-1.35
2019-12-04 00:00:00,4.562,6.113,-1.551
2019-12-03 00:00:00,5.061,6.5007,-1.4398
2019-12-02 00:00:00,5.8573,6.8607,-1.0033
2019-11-29 00:00:00,6.3091,7.1115,-0.8024
2019-11-27 00:00:00,6.4792,7.3121,-0.8329
2019-11-26 00:00:00,6.5421,7.5203,-0.9782
2019-11-25 00:00:00,6.8887,7.7649,-0.8762
2019-11-22 00:00:00,7.019,7.9839,-0.9649
2019-11-21 00:00:00,7.5507,8.2252,-0.6745
2019-11-20 00:00:00,8.096,8.3938,-0.2978
2019-11-19 00:00:00,8.5541,8.4682,0.0858
2019-11-18 00:00:00,8.6987,8.4468,0.2519
2019-11-15 00:00:00,8.6743,8.3838,0.2906
2019-11-14 00:00:00,8.6535,8.3111,0.3424
2019-11-13 00:00:00,8.8187,8.2256,0.5931
2019-11-12 00:00:00,8.7149,8.0773,0.6377
2019-11-11 00:00:00,8.7113,7.9179,0.7935
2019-11-08 00:00:00,8.5555,7.7195,0.8361
2019-11-07 00:00:00,8.442,7.5105,0.9315
2019-11-06 00:00:00,8.2466,7.2776,0.969
2019-11-05 00:00:00,8.1003,7.0353,1.0649
2019-11-04 00:00:00,7.8068,6.7691,1.0377
2019-11-01 00:00:00,7.2811,6.5097,0.7714
2019-10-31 00:00:00,6.6752,6.3168,0.3584
2019-10-30 00:00:00,6.5235,6.2272,0.2963
2019-10-29 00:00:00,6.7951,6.1531,0.642
2019-10-28 00:00:00,7.0399,5.9926,1.0473
2019-10-25 00:00:00,6.6634,5.7308,0.9326
2019-10-24 00:00:00,6.3375,5.4977,0.8398
2019-10-23 00:00:00,6.1347,5.2877,0.847
2019-10-22 00:00:00,5.8274,5.076,0.7515
2019-10-21 00:00:00,5.6783,4.8881,0.7902
2019-10-18 00:00:00,5.3494,4.6906,0.6588
2019-10-17 00:00:00,5.2692,4.5258,0.7434
2019-10-16 00:00:00,5.2053,4.34,0.8653
2019-10-15 00:00:00,5.1406,4.1237,1.0169
2019-10-14 00:00:00,4.8866,3.8695,1.0171
2019-10-11 00:00:00,4.4353,3.6152,0.8201
2019-10-10 00:00:00,3.7601,3.4102,0.3499
2019-10-09 00:00:00,3.4668,3.3227,0.1441
2019-10-08 00:00:00,3.3535,3.2866,0.0669
2019-10-07 00:00:00,3.428,3.2699,0.158
2019-10-04 00:00:00,3.2023,3.2304,-0.0281
2019-10-03 00:00:00,2.8727,3.2375,-0.3647
2019-10-02 00:00:00,3.0406,3.3286,-0.288
2019-10-01 00:00:00,3.4,3.4006,-0.0006
2019-09-30 00:00:00,3.2361,3.4008,-0.1647
2019-09-27 00:00:00,3.0428,3.442,-0.3991
2019-09-26 00:00:00,3.2763,3.5418,-0.2654
2019-09-25 00:00:00,3.4178,3.6081,-0.1904
2019-09-24 00:00:00,3.4325,3.6557,-0.2232
2019-09-23 00:00:00,3.7424,3.7115,0.0309
2019-09-20 00:00:00,3.9777,3.7038,0.2739
2019-09-19 00:00:00,4.321,3.6353,0.6857
2019-09-18 00:00:00,4.3674,3.4639,0.9035
2019-09-17 00:00:00,4.1788,3.238,0.9408
2019-09-16 00:00:00,4.0881,3.0028,1.0852
2019-09-13 00:00:00,3.9943,2.7315,1.2627
2019-09-12 00:00:00,3.9335,2.4158,1.5177
2019-09-11 00:00:00,3.3574,2.0364,1.321
2019-09-10 00:00:00,2.5218,1.7062,0.8156
2019-09-09 00:00:00,2.1201,1.5023,0.6178
2019-09-06 00:00:00,1.8341,1.3478,0.4863
2019-09-05 00:00:00,1.5352,1.2263,0.3089
2019-09-04 00:00:00,1.1292,1.149,-0.0199
2019-09-03 00:00:00,1.011,1.154,-0.143
2019-08-30 00:00:00,1.2008,1.1898,0.011
2019-08-29 00:00:00,1.1161,1.187,-0.0709
2019-08-28 00:00:00,0.9642,1.2047,-0.2405
2019-08-27 00:00:00,1.1107,1.2649,-0.1542
2019-08-26 00:00:00,1.4209,1.3034,0.1175
2019-08-23 00:00:00,1.559,1.274,0.285
2019-08-22 00:00:00,2.1047,1.2028,0.9019
2019-08-21 00:00:00,1.7706,0.9773,0.7933
2019-08-20 00:00:00,1.3001,0.779,0.5211
2019-08-19 00:00:00,0.9128,0.6487,0.2642
2019-08-16 00:00:00,0.4063,0.5826,-0.1764
2019-08-15 00:00:00,0.1458,0.6267,-0.4809
2019-08-14 00:00:00,0.2959,0.747,-0.451
2019-08-13 00:00:00,0.3803,0.8597,-0.4794
2019-08-12 00:00:00,-0.1507,0.9796,-1.1303
2019-08-09 00:00:00,0.0381,1.2621,-1.2241
2019-08-08 00:00:00,0.2265,1.5682,-1.3416
2019-08-07 00:00:00,0.2154,1.9036,-1.6882
2019-08-06 00:00:00,0.645,2.3256,-1.6806
2019-08-05 00:00:00,1.3916,2.7458,-1.3541
2019-08-02 00:00:00,2.697,3.0843,-0.3873
2019-08-01 00:00:00,3.2366,3.1811,0.0555
2019-07-31 00:00:00,3.4291,3.1673,0.2619
2019-07-30 00:00:00,3.1556,3.1018,0.0538
2019-07-29 00:00:00,3.1944,3.0883,0.1061
2019-07-26 00:00:00,3.1058,3.0618,0.044
2019-07-25 00:00:00,3.145,3.0508,0.0942
2019-07-24 00:00:00,3.2226,3.0273,0.1954
2019-07-23 00:00:00,3.1068,2.9784,0.1284
2019-07-22 00:00:00,2.8966,2.9463,-0.0498
2019-07-19 00:00:00,2.751,2.9588,-0.2078
2019-07-18 00:00:00,2.9966,3.0107,-0.0141
2019-07-17 00:00:00,2.9539,3.0143,-0.0604
2019-07-16 00:00:00,3.0916,3.0294,0.0622
2019-07-15 00:00:00,3.1053,3.0138,0.0915
2019-07-12 00:00:00,3.0054,2.9909,0.0145
2019-07-11 00:00:00,3.0286,2.9873,0.0413
2019-07-10 00:00:00,3.172,2.977,0.1951
2019-07-09 00:00:00,3.1582,2.9282,0.23
2019-07-08 00:00:00,3.2973,2.8707,0.4266
2019-07-05 00:00:00,3.551,2.764,0.787
2019-07-03 00:00:00,3.3946,2.5673,0.8273
2019-07-02 00:00:00,3.1272,2.3605,0.7667
2019-07-01 00:00:00,2.9115,2.1688,0.7427
2019-06-28 00:00:00,2.714,1.9831,0.7308
2019-06-27 00:00:00,2.792,1.8004,0.9916
2019-06-26 00:00:00,2.6657,1.5525,1.1131
2019-06-25 00:00:00,2.4595,1.2743,1.1853
2019-06-24 00:00:00,2.5913,0.9779,1.6134
2019-06-21 00:00:00,2.4154,0.5746,1.8408
2019-06-20 00:00:00,2.1354,0.1144,2.021
2019-06-19 00:00:00,1.6777,-0.3909,2.0685
2019-06-18 00:00:00,1.2309,-0.908,2.1389
2019-06-17 00:00:00,0.5838,-1.4427,2.0265
2019-06-14 00:00:00,0.2136,-1.9494,2.1629
2019-06-13 00:00:00,-0.145,-2.4901,2.3451
2019-06-12 00:00:00,-0.744,-3.0764,2.3323
2019-06-11 00:00:00,-1.5019,-3.6595,2.1576
2019-06-10 00:00:00,-2.5105,-4.1989,1.6883
2019-06-07 00:00:00,-3.5343,-4.6209,1.0866
2019-06-06 00:00:00,-4.5422,-4.8926,0.3504
2019-06-05 00:00:00,-5.2606,-4.9802,-0.2804
2019-06-04 00:00:00,-5.8282,-4.9101,-0.9181
2019-06-03 00:00:00,-6.1726,-4.6805,-1.492
2019-05-31 00:00:00,-5.8768,-4.3075,-1.5693
2019-05-30 00:00:00,-5.5941,-3.9152,-1.6788
2019-05-29 00:00:00,-5.4806,-3.4955,-1.9851
2019-05-28 00:00:00,-5.1625,-2.9992,-2.1633
2019-05-24 00:00:00,-4.7679,-2.4584,-2.3095
2019-05-23 00:00:00,-4.2702,-1.881,-2.3892
2019-05-22 00:00:00,-3.6432,-1.2837,-2.3595
2019-05-21 00:00:00,-3.1075,-0.6939,-2.4136
2019-05-20 00:00:00,-2.7675,-0.0904,-2.6771
2019-05-17 00:00:00,-1.936,0.5788,-2.5148
2019-05-16 00:00:00,-1.4482,1.2075,-2.6557
2019-05-15 00:00:00,-0.9145,1.8714,-2.7859
2019-05-14 00:00:00,-0.3055,2.5679,-2.8734
