date,MACD_Signal,MACD,MACD_Hist
2020-02-03 13:01:25,11.5383,7.9562,-3.5822
2020-01-31 00:00:00,12.1462,9.1212,-3.025
2020-01-30 00:00:00,12.6701,10.3665,-2.3036
2020-01-29 00:00:00,13.0382,11.4995,-1.5387
2020-01-28 00:00:00,13.2672,12.0366,-1.2306
2020-01-27 00:00:00,13.4108,12.8246,-0.5862
2020-01-24 00:00:00,13.4572,13.4422,-0.015
2020-01-23 00:00:00,13.3684,13.2611,-0.1073
2020-01-22 00:00:00,13.2733,13.3373,0.064
2020-01-21 00:00:00,13.0845,13.4266,0.3421
2020-01-17 00:00:00,12.8248,13.8365,1.0117
2020-01-16 00:00:00,12.4775,13.6792,1.2017
2020-01-15 00:00:00,12.1198,13.561,1.4411
2020-01-14 00:00:00,11.7454,13.3287,1.5833
2020-01-13 00:00:00,11.3282,13.2427,1.9145
2020-01-10 00:00:00,10.8504,12.6424,1.792
2020-01-09 00:00:00,10.3682,12.4051,2.037
2020-01-08 00:00:00,9.8154,11.6381,1.8228
2020-01-07 00:00:00,9.2324,11.0896,1.8572
2020-01-06 00:00:00,8.664,10.7104,2.0465
2020-01-03 00:00:00,8.0583,10.4604,2.402
2020-01-02 00:00:00,7.3806,10.1908,2.8102
2019-12-31 00:00:00,6.6195,9.5743,2.9548
2019-12-30 00:00:00,5.8577,8.9421,3.0844
2019-12-27 00:00:00,5.1308,8.3025,3.1717
2019-12-26 00:00:00,4.4511,7.4301,2.979
2019-12-24 00:00:00,3.8442,6.3915,2.5473
2019-12-23 00:00:00,3.3669,5.9735,2.6066
2019-12-20 00:00:00,2.9094,5.26,2.3506
2019-12-19 00:00:00,2.5255,4.3608,1.8353
2019-12-18 00:00:00,2.2845,3.3412,1.0567
2019-12-17 00:00:00,2.2332,2.7175,0.4843
2019-12-16 00:00:00,2.3605,2.4004,0.0399
2019-12-13 00:00:00,2.6145,2.1846,-0.43
2019-12-12 00:00:00,2.977,1.9684,-1.0086
2019-12-11 00:00:00,3.4544,2.0954,-1.359
2019-12-10 00:00:00,3.9715,1.8566,-2.1149
2019-12-09 00:00:00,4.5821,1.8044,-2.7778
2019-12-06 00:00:00,5.2617,2.192,-3.0697
2019-12-05 00:00:00,5.962,2.8794,-3.0826
2019-12-04 00:00:00,6.6572,3.8634,-2.7938
2019-12-03 00:00:00,7.3159,4.6865,-2.6294
2019-12-02 00:00:00,7.9496,5.4473,-2.5023
2019-11-29 00:00:00,8.5318,6.2647,-2.2671
2019-11-27 00:00:00,8.9854,6.7496,-2.2358
2019-11-26 00:00:00,9.3292,7.3519,-1.9773
2019-11-25 00:00:00,9.5791,7.9207,-1.6584
2019-11-22 00:00:00,9.7943,8.4947,-1.2996
2019-11-21 00:00:00,9.9524,9.1356,-0.8168
2019-11-20 00:00:00,10.0173,9.792,-0.2253
2019-11-19 00:00:00,10.0202,10.3897,0.3695
2019-11-18 00:00:00,9.9494,10.6872,0.7378
2019-11-15 00:00:00,9.8302,10.347,0.5168
2019-11-14 00:00:00,9.6987,9.8439,0.1452
2019-11-13 00:00:00,9.5826,9.601,0.0185
2019-11-12 00:00:00,9.4484,9.8572,0.4088
2019-11-11 00:00:00,9.2798,9.9178,0.638
2019-11-08 00:00:00,9.1454,9.7196,0.5743
2019-11-07 00:00:00,9.0724,9.8186,0.7462
2019-11-06 00:00:00,8.9467,9.7526,0.8059
2019-11-05 00:00:00,8.7569,9.6142,0.8574
2019-11-04 00:00:00,8.4937,9.1629,0.6692
2019-11-01 00:00:00,8.2275,8.799,0.5715
2019-10-31 00:00:00,7.9676,8.3934,0.4258
2019-10-30 00:00:00,7.6634,8.3399,0.6766
2019-10-29 00:00:00,7.2605,8.7079,1.4475
2019-10-28 00:00:00,6.7677,9.0629,2.2953
2019-10-25 00:00:00,6.2146,8.6876,2.4729
2019-10-24 00:00:00,5.6409,8.0438,2.4029
2019-10-23 00:00:00,5.0874,7.2458,2.1585
2019-10-22 00:00:00,4.58,6.7671,2.1872
2019-10-21 00:00:00,4.1001,6.4595,2.3594
2019-10-18 00:00:00,3.6687,5.6556,1.9869
2019-10-17 00:00:00,3.3317,4.7139,1.3822
2019-10-16 00:00:00,3.1201,4.2727,1.1526
2019-10-15 00:00:00,3.01,4.0856,1.0757
2019-10-14 00:00:00,2.9907,3.5241,0.5334
2019-10-11 00:00:00,3.0959,3.0621,-0.0338
2019-10-10 00:00:00,3.2921,2.679,-0.6131
2019-10-09 00:00:00,3.5719,2.4487,-1.1232
2019-10-08 00:00:00,3.9478,2.5765,-1.3713
2019-10-07 00:00:00,4.3207,2.623,-1.6977
2019-10-04 00:00:00,4.6706,2.8089,-1.8617
2019-10-03 00:00:00,5.0067,3.2817,-1.725
2019-10-02 00:00:00,5.3124,3.9125,-1.3999
2019-10-01 00:00:00,5.533,4.4704,-1.0626
2019-09-30 00:00:00,5.6016,4.828,-0.7736
2019-09-27 00:00:00,5.5957,5.197,-0.3988
2019-09-26 00:00:00,5.5249,5.8321,0.3073
2019-09-25 00:00:00,5.3208,5.9329,0.6121
2019-09-24 00:00:00,5.0547,5.772,0.7173
2019-09-23 00:00:00,4.7642,5.8336,1.0694
2019-09-20 00:00:00,4.4022,6.0334,1.6312
2019-09-19 00:00:00,4.0329,5.8979,1.8649
2019-09-18 00:00:00,3.6891,5.0873,1.3982
2019-09-17 00:00:00,3.4094,4.7755,1.3661
2019-09-16 00:00:00,3.1564,4.5594,1.403
2019-09-13 00:00:00,2.9005,3.9954,1.0949
2019-09-12 00:00:00,2.6618,3.5376,0.8758
2019-09-11 00:00:00,2.4259,3.1579,0.732
2019-09-10 00:00:00,2.2333,2.5756,0.3423
2019-09-09 00:00:00,2.0444,2.7099,0.6655
2019-09-06 00:00:00,1.7982,2.8032,1.005
2019-09-05 00:00:00,1.53,2.57,1.04
2019-09-04 00:00:00,1.2415,2.4989,1.2574
2019-09-03 00:00:00,0.8566,2.2559,1.3993
2019-08-30 00:00:00,0.3548,1.8474,1.4926
2019-08-29 00:00:00,-0.1383,1.4144,1.5527
2019-08-28 00:00:00,-0.5709,1.4242,1.9951
2019-08-27 00:00:00,-0.9238,0.876,1.7998
2019-08-26 00:00:00,-1.1569,0.4942,1.6511
2019-08-23 00:00:00,-1.277,0.3892,1.6662
2019-08-22 00:00:00,-1.3586,-0.027,1.3316
2019-08-21 00:00:00,-1.3494,-0.9649,0.3845
2019-08-20 00:00:00,-1.1795,-2.2602,-1.0807
2019-08-19 00:00:00,-0.8126,-2.5904,-1.7779
2019-08-16 00:00:00,-0.3439,-2.4793,-2.1354
2019-08-15 00:00:00,0.1602,-1.7516,-1.9118
2019-08-14 00:00:00,0.6701,-1.2222,-1.8924
2019-08-13 00:00:00,1.1331,-0.5867,-1.7198
2019-08-12 00:00:00,1.5441,-0.3449,-1.889
2019-08-09 00:00:00,1.9174,0.0558,-1.8616
2019-08-08 00:00:00,2.2383,0.5643,-1.674
2019-08-07 00:00:00,2.4728,1.0421,-1.4308
2019-08-06 00:00:00,2.6548,1.6272,-1.0276
2019-08-05 00:00:00,2.7548,2.0576,-0.6972
2019-08-02 00:00:00,2.79,2.8381,0.0481
2019-08-01 00:00:00,2.7647,2.9446,0.1799
2019-07-31 00:00:00,2.7574,3.1117,0.3544
2019-07-30 00:00:00,2.7686,3.0154,0.2468
2019-07-29 00:00:00,2.7989,2.9433,0.1444
2019-07-26 00:00:00,2.833,2.6756,-0.1574
2019-07-25 00:00:00,2.914,2.6794,-0.2347
2019-07-24 00:00:00,3.03,2.5273,-0.5027
2019-07-23 00:00:00,3.18,2.3749,-0.8051
2019-07-22 00:00:00,3.4121,2.61,-0.8021
2019-07-19 00:00:00,3.7047,2.8785,-0.8262
2019-07-18 00:00:00,4.0629,3.2133,-0.8497
2019-07-17 00:00:00,4.4568,3.2881,-1.1687
2019-07-16 00:00:00,4.9036,3.2498,-1.6538
2019-07-15 00:00:00,5.3692,3.4051,-1.9641
2019-07-12 00:00:00,5.8265,3.7231,-2.1034
2019-07-11 00:00:00,6.2735,3.8774,-2.3961
2019-07-10 00:00:00,6.7335,4.4636,-2.2699
2019-07-09 00:00:00,7.1389,5.2439,-1.895
2019-07-08 00:00:00,7.4622,6.1021,-1.3601
2019-07-05 00:00:00,7.668,6.7583,-0.9097
2019-07-03 00:00:00,7.7135,7.3094,-0.4041
2019-07-02 00:00:00,7.581,7.4396,-0.1414
2019-07-01 00:00:00,7.2967,7.521,0.2243
2019-06-28 00:00:00,6.8277,7.7462,0.9185
2019-06-27 00:00:00,6.1227,8.0177,1.895
2019-06-26 00:00:00,5.2139,8.1122,2.8983
2019-06-25 00:00:00,4.1091,8.1533,4.0442
2019-06-24 00:00:00,2.815,7.9543,5.1393
2019-06-21 00:00:00,1.341,7.1679,5.8269
2019-06-20 00:00:00,-0.2582,6.1169,6.3751
2019-06-19 00:00:00,-1.9023,4.8806,6.7828
2019-06-18 00:00:00,-3.5288,3.3004,6.8292
2019-06-17 00:00:00,-5.0656,1.4009,6.4665
2019-06-14 00:00:00,-6.4258,-0.161,6.2648
2019-06-13 00:00:00,-7.6212,-1.8317,5.7894
2019-06-12 00:00:00,-8.6044,-3.4934,5.111
2019-06-11 00:00:00,-9.4144,-5.3113,4.103
2019-06-10 00:00:00,-10.0783,-7.2254,2.8529
2019-06-07 00:00:00,-10.4622,-8.6794,1.7829
2019-06-06 00:00:00,-10.5859,-9.7587,0.8273
2019-06-05 00:00:00,-10.4714,-10.5304,-0.059
2019-06-04 00:00:00,-10.14,-10.8409,-0.7009
2019-06-03 00:00:00,-9.6064,-10.9194,-1.313
2019-05-31 00:00:00,-8.8837,-10.681,-1.7974
2019-05-30 00:00:00,-8.0139,-10.7828,-2.7688
2019-05-29 00:00:00,-6.9833,-11.2867,-4.3035
2019-05-28 00:00:00,-5.8388,-10.681,-4.8422
2019-05-24 00:00:00,-4.6741,-9.7926,-5.1184
2019-05-23 00:00:00,-3.499,-8.7276,-5.2287
2019-05-22 00:00:00,-2.3037,-7.5478,-5.2441
2019-05-21 00:00:00,-1.1392,-6.0388,-4.8996
2019-05-20 00:00:00,-0.0512,-4.4149,-4.3637
2019-05-17 00:00:00,0.9213,-2.8532,-3.7745
2019-05-16 00:00:00,1.7847,-1.5068,-3.2915
2019-05-15 00:00:00,2.5334,-0.9866,-3.52
2019-05-14 00:00:00,3.2081,-0.1988,-3.407
2019-05-13 00:00:00,3.7989,0.7837,-3.0152
2019-05-10 00:00:00,4.2658,2.0303,-2.2356
2019-05-09 00:00:00,4.6194,2.9323,-1.6871
2019-05-08 00:00:00,4.8764,3.7533,-1.1231
2019-05-07 00:00:00,5.0668,4.3376,-0.7292
2019-05-06 00:00:00,5.2244,4.9175,-0.3069
2019-05-03 00:00:00,5.3053,5.2317,-0.0737
2019-05-02 00:00:00,5.3334,5.0854,-0.2481
2019-05-01 00:00:00,5.3817,5.1187,-0.263
2019-04-30 00:00:00,5.4298,4.9856,-0.4442
2019-04-29 00:00:00,5.4775,5.2122,-0.2653
