date,FastK,FastD
2020-02-03 13:01:29,25.1455,42.6584
2020-01-31 00:00:00,20.1567,62.5163
2020-01-30 00:00:00,82.6731,78.941
2020-01-29 00:00:00,84.7192,58.7366
2020-01-28 00:00:00,69.4309,43.7421
2020-01-27 00:00:00,22.0596,50.7251
2020-01-24 00:00:00,39.7359,69.3936
2020-01-23 00:00:00,90.3797,80.8579
2020-01-22 00:00:00,78.0651,84.0284
2020-01-21 00:00:00,74.1288,83.0067
2020-01-17 00:00:00,99.8912,73.366
2020-01-16 00:00:00,75.0,65.4175
2020-01-15 00:00:00,45.2067,73.5667
2020-01-14 00:00:00,76.0459,87.9155
2020-01-13 00:00:00,99.4476,94.3919
2020-01-10 00:00:00,88.253,91.012
2020-01-09 00:00:00,95.4751,87.5756
2020-01-08 00:00:00,89.3079,87.35
2020-01-07 00:00:00,77.9438,84.0437
2020-01-06 00:00:00,94.7984,90.8716
2020-01-03 00:00:00,79.3888,91.6402
2020-01-02 00:00:00,98.4277,92.5042
2019-12-31 00:00:00,97.1042,84.0082
2019-12-30 00:00:00,81.9807,84.7691
2019-12-27 00:00:00,72.9396,87.5107
2019-12-26 00:00:00,99.387,95.0662
2019-12-24 00:00:00,90.2054,76.3993
2019-12-23 00:00:00,95.6063,73.9516
2019-12-20 00:00:00,43.3862,70.4776
2019-12-19 00:00:00,82.8624,86.2114
2019-12-18 00:00:00,85.1842,89.8476
2019-12-17 00:00:00,90.5876,94.3049
2019-12-16 00:00:00,93.7709,92.6498
2019-12-13 00:00:00,98.5563,93.4119
2019-12-12 00:00:00,85.622,85.7536
2019-12-11 00:00:00,96.0573,81.3008
2019-12-10 00:00:00,75.5814,81.9579
2019-12-09 00:00:00,72.2638,82.656
2019-12-06 00:00:00,98.0286,73.7576
2019-12-05 00:00:00,77.6756,49.8885
2019-12-04 00:00:00,45.5686,33.6198
2019-12-03 00:00:00,26.4214,48.272
2019-12-02 00:00:00,28.8696,72.1446
2019-11-29 00:00:00,89.5251,81.7029
2019-11-27 00:00:00,98.0392,78.0454
2019-11-26 00:00:00,57.5444,51.4183
2019-11-25 00:00:00,78.5526,39.2982
2019-11-22 00:00:00,18.1579,25.3509
2019-11-21 00:00:00,21.1842,44.4065
2019-11-20 00:00:00,36.7105,68.9887
2019-11-19 00:00:00,75.3247,89.9963
2019-11-18 00:00:00,94.9309,88.9229
2019-11-15 00:00:00,99.7333,89.3096
2019-11-14 00:00:00,72.1046,85.6723
2019-11-13 00:00:00,96.0908,93.7041
2019-11-12 00:00:00,88.8215,93.0367
2019-11-11 00:00:00,96.1999,94.0223
2019-11-08 00:00:00,94.0887,93.776
2019-11-07 00:00:00,91.7784,94.0583
2019-11-06 00:00:00,95.4611,96.2402
2019-11-05 00:00:00,94.9355,97.5568
2019-11-04 00:00:00,98.324,96.6028
2019-11-01 00:00:00,99.4108,71.8297
2019-10-31 00:00:00,92.0737,46.7819
2019-10-30 00:00:00,24.0047,48.7316
2019-10-29 00:00:00,24.2673,73.532
2019-10-28 00:00:00,97.9228,94.9069
2019-10-25 00:00:00,98.406,95.3936
2019-10-24 00:00:00,88.392,87.6286
2019-10-23 00:00:00,99.3827,89.444
2019-10-22 00:00:00,75.1111,78.0018
2019-10-21 00:00:00,93.8383,69.9698
2019-10-18 00:00:00,65.0561,60.4425
2019-10-17 00:00:00,51.0152,64.5825
2019-10-16 00:00:00,65.2563,75.4433
2019-10-15 00:00:00,77.4759,83.4433
2019-10-14 00:00:00,83.5977,89.1701
2019-10-11 00:00:00,89.2562,88.1051
2019-10-10 00:00:00,94.6565,79.2298
2019-10-09 00:00:00,80.4028,74.5461
2019-10-08 00:00:00,62.6301,77.9968
2019-10-07 00:00:00,80.6055,71.6067
2019-10-04 00:00:00,90.7549,49.8534
2019-10-03 00:00:00,43.4597,42.0143
2019-10-02 00:00:00,15.3457,58.1281
2019-10-01 00:00:00,67.2377,63.4793
2019-09-30 00:00:00,91.8009,57.9788
2019-09-27 00:00:00,31.3993,46.9652
2019-09-26 00:00:00,50.7362,38.9848
2019-09-25 00:00:00,58.7601,28.6843
2019-09-24 00:00:00,7.4581,10.4602
2019-09-23 00:00:00,19.8346,27.4598
2019-09-20 00:00:00,4.0878,41.2383
2019-09-19 00:00:00,58.457,52.9254
2019-09-18 00:00:00,61.1702,51.9985
2019-09-17 00:00:00,39.1489,48.286
2019-09-16 00:00:00,55.6764,61.3275
2019-09-13 00:00:00,50.0326,75.7856
2019-09-12 00:00:00,78.2736,92.1595
2019-09-11 00:00:00,99.0506,93.2096
2019-09-10 00:00:00,99.1543,89.7352
2019-09-09 00:00:00,81.4239,87.6581
2019-09-06 00:00:00,88.6275,87.9596
2019-09-05 00:00:00,92.9231,69.5438
2019-09-04 00:00:00,82.3282,63.9084
2019-09-03 00:00:00,33.3801,60.6263
2019-08-30 00:00:00,76.0168,60.739
2019-08-29 00:00:00,72.4821,43.2402
2019-08-28 00:00:00,33.7179,32.7007
2019-08-27 00:00:00,23.5207,25.5303
2019-08-26 00:00:00,40.8634,44.8098
2019-08-23 00:00:00,12.2069,62.1138
2019-08-22 00:00:00,81.3591,84.0926
2019-08-21 00:00:00,92.7754,84.2302
2019-08-20 00:00:00,78.1433,72.1658
2019-08-19 00:00:00,81.772,52.7641
2019-08-16 00:00:00,56.582,34.7447
2019-08-15 00:00:00,19.9384,43.4495
2019-08-14 00:00:00,27.7136,59.6664
2019-08-13 00:00:00,82.6965,76.0297
2019-08-12 00:00:00,68.5891,74.5774
2019-08-09 00:00:00,76.8037,60.1754
2019-08-08 00:00:00,78.3394,39.6917
2019-08-07 00:00:00,25.3831,14.4585
2019-08-06 00:00:00,15.3526,10.0333
2019-08-05 00:00:00,2.6398,8.7592
2019-08-02 00:00:00,12.1074,22.2463
2019-08-01 00:00:00,11.5304,35.6871
2019-07-31 00:00:00,43.1011,56.9928
