date,FastD,FastK
2020-02-03 13:01:33,21.4833,0.0
2020-01-31 00:00:00,42.0869,0.0
2020-01-30 00:00:00,54.7519,64.4498
2020-01-29 00:00:00,33.2686,61.811
2020-01-28 00:00:00,12.6649,37.9948
2020-01-27 00:00:00,13.7714,0.0
2020-01-24 00:00:00,21.5823,0.0
2020-01-23 00:00:00,23.97,41.3142
2020-01-22 00:00:00,23.5213,23.4326
2020-01-21 00:00:00,23.0056,7.1632
2020-01-17 00:00:00,20.6179,39.9681
2020-01-16 00:00:00,7.2952,21.8855
2020-01-15 00:00:00,33.3333,0.0
2020-01-14 00:00:00,66.6667,0.0
2020-01-13 00:00:00,100.0,100.0
2020-01-10 00:00:00,80.3414,100.0
2020-01-09 00:00:00,47.0081,100.0
2020-01-08 00:00:00,21.8199,41.0242
2020-01-07 00:00:00,10.6975,0.0
2020-01-06 00:00:00,44.0308,24.4356
2020-01-03 00:00:00,69.219,7.657
2020-01-02 00:00:00,100.0,100.0
2019-12-31 00:00:00,99.0544,100.0
2019-12-30 00:00:00,99.0544,100.0
2019-12-27 00:00:00,99.0544,97.1631
2019-12-26 00:00:00,100.0,100.0
2019-12-24 00:00:00,66.6667,100.0
2019-12-23 00:00:00,58.3958,100.0
2019-12-20 00:00:00,52.7402,0.0
2019-12-19 00:00:00,86.0735,75.1873
2019-12-18 00:00:00,94.3445,83.0334
2019-12-17 00:00:00,100.0,100.0
2019-12-16 00:00:00,89.5474,100.0
2019-12-13 00:00:00,75.6741,100.0
2019-12-12 00:00:00,57.9698,68.6422
2019-12-11 00:00:00,50.4858,58.3801
2019-12-10 00:00:00,64.359,46.8871
2019-12-09 00:00:00,64.3293,46.19
2019-12-06 00:00:00,54.5847,100.0
2019-12-05 00:00:00,21.2514,46.7979
2019-12-04 00:00:00,5.6521,16.9562
2019-12-03 00:00:00,16.3719,0.0
2019-12-02 00:00:00,41.988,0.0
2019-11-29 00:00:00,42.5875,49.1157
2019-11-27 00:00:00,41.415,76.8483
2019-11-26 00:00:00,15.7988,1.7986
2019-11-25 00:00:00,15.1993,45.598
2019-11-22 00:00:00,0.0,0.0
2019-11-21 00:00:00,11.7366,0.0
2019-11-20 00:00:00,38.6153,0.0
2019-11-19 00:00:00,57.6969,35.2098
2019-11-18 00:00:00,45.9603,80.6361
2019-11-15 00:00:00,52.415,57.2449
2019-11-14 00:00:00,61.6332,0.0
2019-11-13 00:00:00,94.9665,100.0
2019-11-12 00:00:00,94.9665,84.8996
2019-11-11 00:00:00,100.0,100.0
2019-11-08 00:00:00,96.7795,100.0
2019-11-07 00:00:00,94.7434,100.0
2019-11-06 00:00:00,94.7434,90.3386
2019-11-05 00:00:00,95.1057,93.8915
2019-11-04 00:00:00,78.6643,100.0
2019-11-01 00:00:00,45.331,91.4256
2019-10-31 00:00:00,14.8558,44.5673
2019-10-30 00:00:00,33.3333,0.0
2019-10-29 00:00:00,66.6667,0.0
2019-10-28 00:00:00,100.0,100.0
2019-10-25 00:00:00,100.0,100.0
2019-10-24 00:00:00,93.9203,100.0
2019-10-23 00:00:00,93.9203,100.0
2019-10-22 00:00:00,86.5909,81.7609
2019-10-21 00:00:00,68.833,100.0
2019-10-18 00:00:00,49.5396,78.0119
2019-10-17 00:00:00,51.0137,28.4872
2019-10-16 00:00:00,73.2044,42.1197
2019-10-15 00:00:00,92.4978,82.4342
2019-10-14 00:00:00,98.3531,95.0592
2019-10-11 00:00:00,93.3205,100.0
2019-10-10 00:00:00,77.6759,100.0
2019-10-09 00:00:00,77.6759,79.9614
2019-10-08 00:00:00,84.286,53.0664
2019-10-07 00:00:00,74.9174,100.0
2019-10-04 00:00:00,41.5841,99.7917
2019-10-03 00:00:00,41.6535,24.9606
2019-10-02 00:00:00,66.6667,0.0
2019-10-01 00:00:00,69.7625,100.0
2019-09-30 00:00:00,54.2083,100.0
2019-09-27 00:00:00,45.2206,9.2876
