date,Chaikin A/D
2000-01-31 00:00:00,6104530.4162
2000-02-01 00:00:00,3548890.4162
2000-02-02 00:00:00,2334652.135
2000-02-03 00:00:00,4583336.135
2000-02-04 00:00:00,5999958.392
2000-02-07 00:00:00,9757976.8036
2000-02-08 00:00:00,11533578.857
2000-02-09 00:00:00,9066286.5493
2000-02-10 00:00:00,11254213.1643
2000-02-11 00:00:00,9681958.1387
2000-02-14 00:00:00,12909242.0008
2000-02-15 00:00:00,15529703.0534
2000-02-16 00:00:00,14403969.7201
2000-02-17 00:00:00,15620346.1907
2000-02-18 00:00:00,13888061.3018
2000-02-22 00:00:00,15355797.3993
2000-02-23 00:00:00,16675828.6493
2000-02-24 00:00:00,16461490.7932
2000-02-25 00:00:00,14398655.0373
2000-02-28 00:00:00,15782606.0177
2000-02-29 00:00:00,15382232.6702
2000-03-01 00:00:00,22516300.9593
2000-03-02 00:00:00,20741510.2007
2000-03-03 00:00:00,23467335.7171
2000-03-06 00:00:00,22215519.7364
2000-03-07 00:00:00,21127856.4453
2000-03-08 00:00:00,21803051.6126
2000-03-09 00:00:00,22260588.6496
2000-03-10 00:00:00,23079382.8859
2000-03-13 00:00:00,21768956.8859
2000-03-14 00:00:00,18129020.3006
2000-03-15 00:00:00,16920750.1537
2000-03-16 00:00:00,19900544.5537
2000-03-17 00:00:00,22624144.5537
2000-03-20 00:00:00,21391258.9867
2000-03-21 00:00:00,24952664.4725
2000-03-22 00:00:00,29873742.1636
2000-03-23 00:00:00,26118664.707
2000-03-24 00:00:00,25144728.925
2000-03-27 00:00:00,24349725.4942
2000-03-28 00:00:00,24025985.4532
2000-03-29 00:00:00,23495406.8435
2000-03-30 00:00:00,19982672.1497
2000-03-31 00:00:00,22670595.3497
2000-04-03 00:00:00,21994059.3656
2000-04-04 00:00:00,23760985.2733
2000-04-05 00:00:00,25546440.6787
2000-04-06 00:00:00,24027827.612
2000-04-07 00:00:00,26104215.0728
2000-04-10 00:00:00,24327465.0728
2000-04-11 00:00:00,21450418.8173
2000-04-12 00:00:00,18256922.002
2000-04-13 00:00:00,17894928.2629
2000-04-14 00:00:00,15735757.8185
2000-04-17 00:00:00,19358152.4421
2000-04-18 00:00:00,22848552.4421
2000-04-19 00:00:00,19416267.4897
2000-04-20 00:00:00,16003871.5209
2000-04-24 00:00:00,19964771.5209
2000-04-25 00:00:00,23001603.8079
2000-04-26 00:00:00,20798493.8079
2000-04-27 00:00:00,23574665.7849
2000-04-28 00:00:00,23326265.7849
2000-05-01 00:00:00,24339172.8618
2000-05-02 00:00:00,22406703.1475
2000-05-03 00:00:00,21157866.1797
2000-05-04 00:00:00,17788515.8599
2000-05-05 00:00:00,18273138.1924
2000-05-08 00:00:00,16729613.8022
2000-05-09 00:00:00,14330630.1031
2000-05-10 00:00:00,10409176.0231
2000-05-11 00:00:00,12423450.3088
2000-05-12 00:00:00,12409103.1884
2000-05-15 00:00:00,7690898.9063
2000-05-16 00:00:00,7422908.732
2000-05-17 00:00:00,6009713.5512
2000-05-18 00:00:00,2873269.5697
2000-05-19 00:00:00,-2322737.5731
2000-05-22 00:00:00,-2209585.5731
2000-05-23 00:00:00,-6604292.7989
2000-05-24 00:00:00,-4244033.3915
2000-05-25 00:00:00,-6490670.6287
2000-05-26 00:00:00,-7323876.6894
2000-05-30 00:00:00,-2076678.8872
2000-05-31 00:00:00,-5749586.9517
2000-06-01 00:00:00,1547660.0559
2000-06-02 00:00:00,-842737.1534
2000-06-05 00:00:00,-2048594.7073
2000-06-06 00:00:00,-3010267.9992
2000-06-07 00:00:00,-493362.7948
2000-06-08 00:00:00,-1285072.832
2000-06-09 00:00:00,-1796303.0841
2000-06-12 00:00:00,-4090744.5562
2000-06-13 00:00:00,-1136196.8639
2000-06-14 00:00:00,-3354765.8688
2000-06-15 00:00:00,-2151109.5759
2000-06-16 00:00:00,-2399611.0684
2000-06-19 00:00:00,27128.8819
2000-06-20 00:00:00,179834.9861
2000-06-21 00:00:00,2825951.1248
2000-06-22 00:00:00,-4746255.2634
2000-06-23 00:00:00,-6720026.4676
2000-06-26 00:00:00,-4976644.0248
2000-06-27 00:00:00,-8384716.893
2000-06-28 00:00:00,-5748222.0477
2000-06-29 00:00:00,-8905166.4921
2000-06-30 00:00:00,-12224905.569
2000-07-03 00:00:00,-12120472.5415
2000-07-05 00:00:00,-14979139.2082
2000-07-06 00:00:00,-13225670.9302
2000-07-07 00:00:00,-9818220.184
2000-07-10 00:00:00,-6250684.6284
2000-07-11 00:00:00,-7609401.1639
2000-07-12 00:00:00,-3772501.1639
2000-07-13 00:00:00,-6993677.3543
2000-07-14 00:00:00,-7795045.2789
2000-07-17 00:00:00,-5915776.2312
2000-07-18 00:00:00,-9497830.2312
2000-07-19 00:00:00,-14636295.4486
2000-07-20 00:00:00,-17275146.6432
2000-07-21 00:00:00,-19164027.6841
