date,ATR
2000-02-29 00:00:00,5.9715
2000-03-01 00:00:00,6.5449
2000-03-02 00:00:00,6.6987
2000-03-03 00:00:00,6.7752
2000-03-06 00:00:00,6.643
2000-03-07 00:00:00,6.6268
2000-03-08 00:00:00,6.5645
2000-03-09 00:00:00,6.5738
2000-03-10 00:00:00,6.5921
2000-03-13 00:00:00,6.6125
2000-03-14 00:00:00,6.7944
2000-03-15 00:00:00,6.7611
2000-03-16 00:00:00,6.7981
2000-03-17 00:00:00,6.7272
2000-03-20 00:00:00,6.5848
2000-03-21 00:00:00,7.0121
2000-03-22 00:00:00,7.3025
2000-03-23 00:00:00,7.4563
2000-03-24 00:00:00,7.5055
2000-03-27 00:00:00,7.5238
2000-03-28 00:00:00,7.3911
2000-03-29 00:00:00,7.302
2000-03-30 00:00:00,7.5494
2000-03-31 00:00:00,7.7469
2000-04-03 00:00:00,7.8626
2000-04-04 00:00:00,8.2975
2000-04-05 00:00:00,8.3266
2000-04-06 00:00:00,8.4728
2000-04-07 00:00:00,8.3836
2000-04-10 00:00:00,8.3644
2000-04-11 00:00:00,8.2932
2000-04-12 00:00:00,8.6071
2000-04-13 00:00:00,8.7517
2000-04-14 00:00:00,8.7641
2000-04-17 00:00:00,9.0699
2000-04-18 00:00:00,8.9914
2000-04-19 00:00:00,9.0668
2000-04-20 00:00:00,8.998
2000-04-24 00:00:00,8.8356
2000-04-25 00:00:00,8.8063
2000-04-26 00:00:00,8.7815
2000-04-27 00:00:00,8.8634
2000-04-28 00:00:00,8.7298
2000-05-01 00:00:00,8.4558
2000-05-02 00:00:00,8.4705
2000-05-03 00:00:00,8.5285
2000-05-04 00:00:00,8.3365
2000-05-05 00:00:00,8.1227
2000-05-08 00:00:00,7.9011
2000-05-09 00:00:00,7.825
2000-05-10 00:00:00,7.7683
2000-05-11 00:00:00,7.6424
2000-05-12 00:00:00,7.6447
2000-05-15 00:00:00,7.6595
2000-05-16 00:00:00,7.6795
2000-05-17 00:00:00,7.5616
2000-05-18 00:00:00,7.3995
2000-05-19 00:00:00,7.3985
2000-05-22 00:00:00,7.4286
2000-05-23 00:00:00,7.4446
2000-05-24 00:00:00,7.4099
2000-05-25 00:00:00,7.3724
2000-05-26 00:00:00,7.2348
2000-05-30 00:00:00,7.1916
2000-05-31 00:00:00,7.204
2000-06-01 00:00:00,7.3033
2000-06-02 00:00:00,7.4756
2000-06-05 00:00:00,7.3798
2000-06-06 00:00:00,7.3328
2000-06-07 00:00:00,7.2352
2000-06-08 00:00:00,7.1424
2000-06-09 00:00:00,6.9638
2000-06-12 00:00:00,6.8941
2000-06-13 00:00:00,6.8744
2000-06-14 00:00:00,6.8372
2000-06-15 00:00:00,6.7138
2000-06-16 00:00:00,6.6126
2000-06-19 00:00:00,6.685
2000-06-20 00:00:00,6.7168
2000-06-21 00:00:00,8.9279
2000-06-22 00:00:00,8.685
2000-06-23 00:00:00,8.4418
2000-06-26 00:00:00,8.1727
2000-06-27 00:00:00,7.9576
2000-06-28 00:00:00,7.7537
2000-06-29 00:00:00,7.535
2000-06-30 00:00:00,7.3427
2000-07-03 00:00:00,7.0846
2000-07-05 00:00:00,6.9524
2000-07-06 00:00:00,6.7703
2000-07-07 00:00:00,6.5817
2000-07-10 00:00:00,6.4777
2000-07-11 00:00:00,6.3443
2000-07-12 00:00:00,6.1551
2000-07-13 00:00:00,6.1413
2000-07-14 00:00:00,5.9592
2000-07-17 00:00:00,5.7453
2000-07-18 00:00:00,5.558
2000-07-19 00:00:00,5.5551
2000-07-20 00:00:00,5.4959
2000-07-21 00:00:00,5.3556
2000-07-24 00:00:00,5.3908
2000-07-25 00:00:00,5.2182
2000-07-26 00:00:00,5.0573
2000-07-27 00:00:00,4.973
2000-07-28 00:00:00,5.0053
2000-07-31 00:00:00,4.9211
2000-08-01 00:00:00,4.7705
2000-08-02 00:00:00,4.6695
2000-08-03 00:00:00,4.6265
2000-08-04 00:00:00,4.6422
2000-08-07 00:00:00,4.5036
2000-08-08 00:00:00,4.3629
2000-08-09 00:00:00,4.2292
2000-08-10 00:00:00,4.0708
2000-08-11 00:00:00,3.9892
2000-08-14 00:00:00,3.8588
2000-08-15 00:00:00,3.7378
2000-08-16 00:00:00,3.6665
2000-08-17 00:00:00,3.6896
2000-08-18 00:00:00,3.6016
2000-08-21 00:00:00,3.5181
2000-08-22 00:00:00,3.4637
2000-08-23 00:00:00,3.475
2000-08-24 00:00:00,3.4637
2000-08-25 00:00:00,3.36
2000-08-28 00:00:00,3.3015
2000-08-29 00:00:00,3.224
2000-08-30 00:00:00,3.1278
2000-08-31 00:00:00,3.0994
2000-09-01 00:00:00,3.0789
2000-09-05 00:00:00,3.0185
2000-09-06 00:00:00,3.102
2000-09-07 00:00:00,3.1624
2000-09-08 00:00:00,3.1793
2000-09-11 00:00:00,3.1329
2000-09-12 00:00:00,3.1292
2000-09-13 00:00:00,3.1102
2000-09-14 00:00:00,3.0957
2000-09-15 00:00:00,3.1379
2000-09-18 00:00:00,3.2656
2000-09-19 00:00:00,3.2073
2000-09-20 00:00:00,3.1909
2000-09-21 00:00:00,3.3214
2000-09-22 00:00:00,3.4898
2000-09-25 00:00:00,3.4873
2000-09-26 00:00:00,3.4814
2000-09-27 00:00:00,3.5324
2000-09-28 00:00:00,3.6398
2000-09-29 00:00:00,4.8643
2000-10-02 00:00:00,4.7835
2000-10-03 00:00:00,4.6849
2000-10-04 00:00:00,4.5446
2000-10-05 00:00:00,4.4424
2000-10-06 00:00:00,4.3173
2000-10-09 00:00:00,4.1889
2000-10-10 00:00:00,4.0765
2000-10-11 00:00:00,3.9666
2000-10-12 00:00:00,3.8338
2000-10-13 00:00:00,3.7481
2000-10-16 00:00:00,3.6547
2000-10-17 00:00:00,3.5845
2000-10-18 00:00:00,3.5208
2000-10-19 00:00:00,3.4352
2000-10-20 00:00:00,3.335
2000-10-23 00:00:00,3.2242
2000-10-24 00:00:00,3.166
2000-10-25 00:00:00,3.0452
2000-10-26 00:00:00,2.9614
2000-10-27 00:00:00,2.8794
2000-10-30 00:00:00,2.8044
2000-10-31 00:00:00,2.7142
2000-11-01 00:00:00,2.65
2000-11-02 00:00:00,2.6145
2000-11-03 00:00:00,2.5367
2000-11-06 00:00:00,2.4974
2000-11-07 00:00:00,2.4225
2000-11-08 00:00:00,2.3829
2000-11-09 00:00:00,2.3358
2000-11-10 00:00:00,2.2755
2000-11-13 00:00:00,2.2492
2000-11-14 00:00:00,2.1932
2000-11-15 00:00:00,2.1336
2000-11-16 00:00:00,2.0769
2000-11-17 00:00:00,2.0231
2000-11-20 00:00:00,1.9844
2000-11-21 00:00:00,1.9227
2000-11-22 00:00:00,1.8641
2000-11-24 00:00:00,1.8208
2000-11-27 00:00:00,1.8018
2000-11-28 00:00:00,1.7647
2000-11-29 00:00:00,1.7295
2000-11-30 00:00:00,1.715
2000-12-01 00:00:00,1.6793
2000-12-04 00:00:00,1.6328
2000-12-05 00:00:00,1.6047
2000-12-06 00:00:00,1.6744
2000-12-07 00:00:00,1.6347
2000-12-08 00:00:00,1.603
2000-12-11 00:00:00,1.5478
2000-12-12 00:00:00,1.5204
2000-12-13 00:00:00,1.4784
2000-12-14 00:00:00,1.445
2000-12-15 00:00:00,1.4072
2000-12-18 00:00:00,1.3714
2000-12-19 00:00:00,1.3653
2000-12-20 00:00:00,1.347
2000-12-21 00:00:00,1.3357
2000-12-22 00:00:00,1.3159
2000-12-26 00:00:00,1.2876
2000-12-27 00:00:00,1.2542
2000-12-28 00:00:00,1.223
2000-12-29 00:00:00,1.1869
2001-01-02 00:00:00,1.162
2001-01-03 00:00:00,1.2164
2001-01-04 00:00:00,1.2621
2001-01-05 00:00:00,1.2645
2001-01-08 00:00:00,1.2533
2001-01-09 00:00:00,1.2446
2001-01-10 00:00:00,1.2389
2001-01-11 00:00:00,1.2894
2001-01-12 00:00:00,1.272
2001-01-16 00:00:00,1.2709
2001-01-17 00:00:00,1.2603
2001-01-18 00:00:00,1.2943
2001-01-19 00:00:00,1.2731
2001-01-22 00:00:00,1.2684
2001-01-23 00:00:00,1.299
2001-01-24 00:00:00,1.2906
2001-01-25 00:00:00,1.2665
2001-01-26 00:00:00,1.2472
2001-01-29 00:00:00,1.2943
2001-01-30 00:00:00,1.2861
2001-01-31 00:00:00,1.2748
2001-02-01 00:00:00,1.2671
2001-02-02 00:00:00,1.2757
2001-02-05 00:00:00,1.2554
2001-02-06 00:00:00,1.2622
2001-02-07 00:00:00,1.2646
2001-02-08 00:00:00,1.2448
2001-02-09 00:00:00,1.2886
2001-02-12 00:00:00,1.2837
2001-02-13 00:00:00,1.2915
2001-02-14 00:00:00,1.2829
2001-02-15 00:00:00,1.2718
2001-02-16 00:00:00,1.2737
2001-02-20 00:00:00,1.2725
2001-02-21 00:00:00,1.2934
2001-02-22 00:00:00,1.2972
2001-02-23 00:00:00,1.2633
2001-02-26 00:00:00,1.2567
2001-02-27 00:00:00,1.2343
2001-02-28 00:00:00,1.2386
2001-03-01 00:00:00,1.2547
2001-03-02 00:00:00,1.3015
2001-03-05 00:00:00,1.2989
2001-03-06 00:00:00,1.3184
2001-03-07 00:00:00,1.296
2001-03-08 00:00:00,1.2717
2001-03-09 00:00:00,1.2486
2001-03-12 00:00:00,1.2927
2001-03-13 00:00:00,1.2966
2001-03-14 00:00:00,1.3347
2001-03-15 00:00:00,1.352
2001-03-16 00:00:00,1.3564
2001-03-19 00:00:00,1.3446
2001-03-20 00:00:00,1.3398
2001-03-21 00:00:00,1.3479
2001-03-22 00:00:00,1.362
2001-03-23 00:00:00,1.3909
2001-03-26 00:00:00,1.4523
2001-03-27 00:00:00,1.4432
2001-03-28 00:00:00,1.4395
2001-03-29 00:00:00,1.4651
2001-03-30 00:00:00,1.4608
2001-04-02 00:00:00,1.4508
2001-04-03 00:00:00,1.4512
2001-04-04 00:00:00,1.4537
2001-04-05 00:00:00,1.531
2001-04-06 00:00:00,1.5114
2001-04-09 00:00:00,1.4999
2001-04-10 00:00:00,1.5329
