date,Real Upper Band,Real Middle Band,Real Lower Band
2020-02-03 13:10:55,327.0587,312.9945,298.9303
2020-01-31 00:00:00,327.956,312.4945,297.033
2020-01-30 00:00:00,328.344,312.0365,295.729
2020-01-29 00:00:00,327.7421,310.5255,293.3089
2020-01-28 00:00:00,326.765,308.8845,291.004
2020-01-27 00:00:00,326.7064,307.49,288.2736
2020-01-24 00:00:00,327.2027,306.538,285.8733
2020-01-23 00:00:00,326.9018,304.836,282.7702
2020-01-22 00:00:00,325.8753,303.0745,280.2737
2020-01-21 00:00:00,325.1235,301.1615,277.1995
2020-01-17 00:00:00,323.8845,299.334,274.7835
2020-01-16 00:00:00,321.6552,297.3845,273.1138
2020-01-15 00:00:00,319.5344,295.643,271.7516
2020-01-14 00:00:00,317.7635,294.069,270.3745
2020-01-13 00:00:00,315.6373,292.1925,268.7477
2020-01-10 00:00:00,312.1039,289.9175,267.7311
2020-01-09 00:00:00,309.5399,287.9395,266.3391
2020-01-08 00:00:00,306.6494,285.882,265.1146
2020-01-07 00:00:00,304.808,284.0685,263.329
2020-01-06 00:00:00,303.1083,282.6845,262.2607
2020-01-03 00:00:00,301.1068,280.9735,260.8402
2020-01-02 00:00:00,299.4974,279.189,258.8806
2019-12-31 00:00:00,296.7418,277.144,257.5462
2019-12-30 00:00:00,294.5004,275.6695,256.8386
2019-12-27 00:00:00,292.1377,274.456,256.7743
2019-12-26 00:00:00,289.7741,273.358,256.9419
2019-12-24 00:00:00,287.0628,272.077,257.0912
2019-12-23 00:00:00,285.2586,271.182,257.1054
2019-12-20 00:00:00,283.4139,270.071,256.7281
2019-12-19 00:00:00,282.2546,269.1995,256.1444
2019-12-18 00:00:00,280.6628,268.358,256.0532
2019-12-17 00:00:00,278.8455,267.6855,256.5255
2019-12-16 00:00:00,276.531,267.02,257.509
2019-12-13 00:00:00,273.786,266.315,258.844
2019-12-12 00:00:00,272.1192,265.6895,259.2598
2019-12-11 00:00:00,271.2128,265.34,259.4672
2019-12-10 00:00:00,270.386,264.8995,259.413
2019-12-09 00:00:00,269.9335,264.5855,259.2375
2019-12-06 00:00:00,269.8146,264.2465,258.6784
2019-12-05 00:00:00,268.783,263.6825,258.582
2019-12-04 00:00:00,269.0014,263.2655,257.5296
2019-12-03 00:00:00,269.3399,263.035,256.7301
2019-12-02 00:00:00,269.5156,262.9375,256.3594
2019-11-29 00:00:00,269.7598,262.5205,255.2812
2019-11-27 00:00:00,270.6727,261.596,252.5193
2019-11-26 00:00:00,272.0198,260.367,248.7142
2019-11-25 00:00:00,272.9781,259.317,245.6559
2019-11-22 00:00:00,272.4066,258.451,244.4954
2019-11-21 00:00:00,272.4699,257.691,242.9121
2019-11-20 00:00:00,272.616,256.7695,240.923
2019-11-19 00:00:00,272.3762,255.769,239.1618
2019-11-18 00:00:00,271.6779,254.4525,237.2271
2019-11-15 00:00:00,270.343,253.123,235.903
2019-11-14 00:00:00,269.3145,251.6555,233.9965
2019-11-13 00:00:00,268.5592,250.2875,232.0158
2019-11-12 00:00:00,267.0921,248.7825,230.4729
2019-11-11 00:00:00,265.6071,247.4505,229.2939
2019-11-08 00:00:00,263.628,246.134,228.64
2019-11-07 00:00:00,261.6939,244.9375,228.1811
