date,QUADRATURE,PHASE
2020-02-03 13:14:30,-9.8246,-6.1943
2020-01-31 00:00:00,-17.6863,1.9352
2020-01-30 00:00:00,-9.0719,3.8241
2020-01-29 00:00:00,-7.8705,4.9438
2020-01-28 00:00:00,-4.9227,6.109
2020-01-27 00:00:00,0.5024,6.7706
2020-01-24 00:00:00,-1.0109,3.932
2020-01-23 00:00:00,-22.9783,5.1154
2020-01-22 00:00:00,-26.3215,15.3667
2020-01-21 00:00:00,-4.7664,18.1101
2020-01-17 00:00:00,5.1271,17.2232
2020-01-16 00:00:00,20.627,15.1251
2020-01-15 00:00:00,14.3629,7.5574
2020-01-14 00:00:00,-2.914,8.029
2020-01-13 00:00:00,-7.9384,9.7563
2020-01-10 00:00:00,-8.1847,13.1666
2020-01-09 00:00:00,5.3107,13.612
2020-01-08 00:00:00,7.8304,10.0599
2020-01-07 00:00:00,0.3594,9.8264
2020-01-06 00:00:00,3.8834,10.9552
2020-01-03 00:00:00,9.2827,9.2475
2020-01-02 00:00:00,9.5054,6.6724
2019-12-31 00:00:00,7.4706,3.9749
2019-12-30 00:00:00,-2.0424,2.0911
2019-12-27 00:00:00,-10.9464,4.7789
2019-12-26 00:00:00,-12.7199,8.3061
2019-12-24 00:00:00,-8.4587,12.6902
2019-12-23 00:00:00,6.2164,13.3579
2019-12-20 00:00:00,11.704,8.2404
2019-12-19 00:00:00,3.2745,6.297
2019-12-18 00:00:00,1.2459,6.6127
2019-12-17 00:00:00,-4.42,6.3413
2019-12-16 00:00:00,-0.5539,10.7206
2019-12-13 00:00:00,24.2812,8.8714
2019-12-12 00:00:00,32.9642,-0.2085
2019-12-11 00:00:00,16.4809,-6.9567
2019-12-10 00:00:00,-10.8349,-7.3414
2019-12-09 00:00:00,-24.2021,-0.6836
2019-12-06 00:00:00,-12.1702,5.3813
2019-12-05 00:00:00,3.3576,4.5912
2019-12-04 00:00:00,10.6365,3.2681
2019-12-03 00:00:00,18.1524,0.0736
2019-12-02 00:00:00,7.9969,-4.7414
2019-11-29 00:00:00,-7.522,-3.9161
2019-11-27 00:00:00,-13.2407,-0.7273
2019-11-26 00:00:00,-12.1344,3.2046
2019-11-25 00:00:00,-3.0824,4.9626
2019-11-22 00:00:00,-0.4486,3.5442
2019-11-21 00:00:00,-3.504,4.165
2019-11-20 00:00:00,-2.5756,5.3614
2019-11-19 00:00:00,-1.1587,5.7393
2019-11-18 00:00:00,-0.9721,5.591
2019-11-15 00:00:00,-4.1875,5.3516
2019-11-14 00:00:00,-11.7581,6.6336
2019-11-13 00:00:00,-14.6099,10.2372
2019-11-12 00:00:00,-11.9624,14.6103
2019-11-11 00:00:00,5.1542,17.6171
2019-11-08 00:00:00,27.4366,13.0293
2019-11-07 00:00:00,26.1399,3.921
2019-11-06 00:00:00,1.4575,-1.3342
2019-11-05 00:00:00,-21.1104,4.6016
2019-11-04 00:00:00,-9.767,10.2671
2019-11-01 00:00:00,-0.7449,8.732
2019-10-31 00:00:00,1.5337,9.1831
2019-10-30 00:00:00,6.6852,7.8598
2019-10-29 00:00:00,6.8633,7.2324
2019-10-28 00:00:00,11.1374,5.4188
2019-10-25 00:00:00,7.0159,1.7847
2019-10-24 00:00:00,-2.4351,1.2963
2019-10-23 00:00:00,-8.0115,3.0963
2019-10-22 00:00:00,-8.5795,6.2033
2019-10-21 00:00:00,-1.7865,8.6722
2019-10-18 00:00:00,5.1723,7.2338
2019-10-17 00:00:00,5.0156,4.4184
2019-10-16 00:00:00,2.1576,3.2025
2019-10-15 00:00:00,-0.4034,3.4465
2019-10-14 00:00:00,1.2501,4.8978
2019-10-11 00:00:00,5.8102,2.8166
2019-10-10 00:00:00,1.9773,-0.6572
2019-10-09 00:00:00,-5.3731,1.1681
2019-10-08 00:00:00,-1.7128,4.6375
2019-10-07 00:00:00,4.4738,2.7453
2019-10-04 00:00:00,1.8122,0.9997
2019-10-03 00:00:00,3.3461,1.8879
2019-10-02 00:00:00,6.1902,-0.4318
2019-10-01 00:00:00,2.6988,-2.3148
2019-09-30 00:00:00,-0.4404,-2.6187
2019-09-27 00:00:00,-4.2679,-1.7119
2019-09-26 00:00:00,-3.1814,0.8349
2019-09-25 00:00:00,-0.1305,0.4567
2019-09-24 00:00:00,-1.8113,-0.0497
2019-09-23 00:00:00,-4.7937,0.5392
2019-09-20 00:00:00,-8.2965,3.3579
2019-09-19 00:00:00,-4.9505,7.5709
2019-09-18 00:00:00,1.1444,7.2606
2019-09-17 00:00:00,1.6765,5.6352
2019-09-16 00:00:00,1.3026,5.3991
2019-09-13 00:00:00,2.0097,5.3103
2019-09-12 00:00:00,4.2574,4.3738
2019-09-11 00:00:00,3.8137,1.6411
2019-09-10 00:00:00,-0.1809,1.5002
2019-09-09 00:00:00,1.7965,3.2263
2019-09-06 00:00:00,8.8752,1.3226
2019-09-05 00:00:00,7.2644,-3.2031
2019-09-04 00:00:00,3.0763,-4.1828
2019-09-03 00:00:00,-2.0687,-6.079
2019-08-30 00:00:00,-13.5883,-3.1306
2019-08-29 00:00:00,-12.3759,4.19
2019-08-28 00:00:00,-4.6539,6.0377
2019-08-27 00:00:00,-0.3785,6.8544
2019-08-26 00:00:00,4.7906,5.8352
2019-08-23 00:00:00,6.8171,2.5332
2019-08-22 00:00:00,-2.9546,0.0758
2019-08-21 00:00:00,-8.4857,5.4933
2019-08-20 00:00:00,3.5611,6.6949
2019-08-19 00:00:00,4.0045,3.2449
2019-08-16 00:00:00,9.1925,4.9694
2019-08-15 00:00:00,23.5157,0.356
2019-08-14 00:00:00,24.0892,-6.6376
2019-08-13 00:00:00,10.7115,-14.3049
2019-08-12 00:00:00,-11.0455,-13.6421
2019-08-09 00:00:00,-19.4289,-6.0787
2019-08-08 00:00:00,-14.8899,0.3874
