date,LEAD SINE,SINE
2020-02-03 13:13:23,-0.8801,-0.2865
2020-01-31 00:00:00,-0.8452,-0.2197
2020-01-30 00:00:00,-0.8201,-0.1752
2020-01-29 00:00:00,-0.7926,-0.1293
2020-01-28 00:00:00,-0.7692,-0.0921
2020-01-27 00:00:00,-0.7379,-0.0446
2020-01-24 00:00:00,-0.7218,-0.021
2020-01-23 00:00:00,-0.7117,-0.0066
2020-01-22 00:00:00,-0.7004,0.0094
2020-01-21 00:00:00,-0.6387,0.0925
2020-01-17 00:00:00,-0.5982,0.1437
2020-01-16 00:00:00,-0.572,0.1756
2020-01-15 00:00:00,-0.5807,0.1651
2020-01-14 00:00:00,-0.5582,0.192
2020-01-13 00:00:00,-0.5321,0.2224
2020-01-10 00:00:00,-0.5047,0.2536
2020-01-09 00:00:00,-0.4498,0.3135
2020-01-08 00:00:00,-0.4211,0.3436
2020-01-07 00:00:00,-0.4239,0.3407
2020-01-06 00:00:00,-0.4351,0.329
2020-01-03 00:00:00,-0.46,0.3026
2020-01-02 00:00:00,-0.49,0.27
2019-12-31 00:00:00,-0.488,0.2721
2019-12-30 00:00:00,-0.4341,0.3301
2019-12-27 00:00:00,-0.3729,0.3924
2019-12-26 00:00:00,-0.3147,0.4486
2019-12-24 00:00:00,-0.2601,0.4988
2019-12-23 00:00:00,-0.1972,0.5538
2019-12-20 00:00:00,-0.2012,0.5504
2019-12-19 00:00:00,-0.3985,0.3667
2019-12-18 00:00:00,-0.7114,-0.006
2019-12-17 00:00:00,-0.9493,-0.4489
2019-12-16 00:00:00,-0.9873,-0.5856
2019-12-13 00:00:00,-0.9902,-0.6012
2019-12-12 00:00:00,-0.9872,-0.5854
2019-12-11 00:00:00,-0.9805,-0.5544
2019-12-10 00:00:00,-0.9747,-0.531
2019-12-09 00:00:00,-0.9729,-0.5243
2019-12-06 00:00:00,-0.9622,-0.488
2019-12-05 00:00:00,-0.9455,-0.4384
2019-12-04 00:00:00,-0.9156,-0.3632
2019-12-03 00:00:00,-0.9,-0.3282
2019-12-02 00:00:00,-0.895,-0.3175
2019-11-29 00:00:00,-0.8973,-0.3224
2019-11-27 00:00:00,-0.8901,-0.3071
2019-11-26 00:00:00,-0.8781,-0.2826
2019-11-25 00:00:00,-0.8497,-0.2281
2019-11-22 00:00:00,-0.83,-0.1926
2019-11-21 00:00:00,-0.7982,-0.1384
2019-11-20 00:00:00,-0.7772,-0.1046
2019-11-19 00:00:00,-0.7637,-0.0836
2019-11-18 00:00:00,-0.7553,-0.0707
2019-11-15 00:00:00,-0.7501,-0.0627
2019-11-14 00:00:00,-0.7453,-0.0556
2019-11-13 00:00:00,-0.7299,-0.0327
2019-11-12 00:00:00,-0.7223,-0.0217
2019-11-11 00:00:00,-0.6995,0.0107
2019-11-08 00:00:00,-0.6759,0.0432
2019-11-07 00:00:00,-0.635,0.0973
2019-11-06 00:00:00,-0.6116,0.127
2019-11-05 00:00:00,-0.5622,0.1873
2019-11-04 00:00:00,-0.5082,0.2496
2019-11-01 00:00:00,-0.4812,0.2796
2019-10-31 00:00:00,-0.4682,0.2938
2019-10-30 00:00:00,-0.4506,0.3127
2019-10-29 00:00:00,-0.446,0.3175
2019-10-28 00:00:00,-0.4919,0.2678
2019-10-25 00:00:00,-0.5226,0.2334
2019-10-24 00:00:00,-0.5483,0.2036
2019-10-23 00:00:00,-0.5371,0.2167
2019-10-22 00:00:00,-0.5669,0.1816
2019-10-21 00:00:00,-0.5541,0.1969
2019-10-18 00:00:00,-0.5811,0.1645
2019-10-17 00:00:00,-0.5457,0.2066
2019-10-16 00:00:00,-0.5056,0.2526
2019-10-15 00:00:00,-0.4783,0.2827
2019-10-14 00:00:00,-0.4109,0.3541
2019-10-11 00:00:00,-0.2897,0.4719
2019-10-10 00:00:00,-0.2102,0.5427
2019-10-09 00:00:00,0.0205,0.7214
2019-10-08 00:00:00,-0.0612,0.6625
2019-10-07 00:00:00,-0.8052,-0.15
2019-10-04 00:00:00,-0.961,-0.8751
2019-10-03 00:00:00,-0.933,-0.9142
2019-10-02 00:00:00,-0.9512,-0.8909
2019-10-01 00:00:00,-0.9732,-0.8508
2019-09-30 00:00:00,-0.9714,-0.8547
2019-09-27 00:00:00,-0.9946,-0.7769
2019-09-26 00:00:00,-0.999,-0.6754
2019-09-25 00:00:00,-0.9943,-0.628
2019-09-24 00:00:00,-0.9838,-0.569
2019-09-23 00:00:00,-0.962,-0.4871
2019-09-20 00:00:00,-0.9142,-0.36
2019-09-19 00:00:00,-0.8477,-0.2244
2019-09-18 00:00:00,-0.8045,-0.1489
2019-09-17 00:00:00,-0.7,0.01
2019-09-16 00:00:00,-0.5457,0.2067
2019-09-13 00:00:00,-0.1948,0.5558
2019-09-12 00:00:00,0.0297,0.7278
2019-09-11 00:00:00,0.228,0.8497
2019-09-10 00:00:00,0.3401,0.9054
2019-09-09 00:00:00,-0.9092,-0.3485
2019-09-06 00:00:00,-0.9013,-0.9436
2019-09-05 00:00:00,-0.9153,-0.932
2019-09-04 00:00:00,-0.956,-0.8835
2019-09-03 00:00:00,-0.9869,-0.8118
2019-08-30 00:00:00,-1.0,-0.7006
2019-08-29 00:00:00,-0.8959,-0.3194
2019-08-28 00:00:00,-0.6622,0.0615
2019-08-27 00:00:00,-0.2969,0.4652
2019-08-26 00:00:00,0.2328,0.8523
2019-08-23 00:00:00,0.6314,0.9948
2019-08-22 00:00:00,0.8914,0.9508
2019-08-21 00:00:00,0.9992,0.6791
2019-08-20 00:00:00,0.8373,0.2055
2019-08-19 00:00:00,0.586,-0.1587
2019-08-16 00:00:00,0.1664,-0.5796
2019-08-15 00:00:00,-0.1152,-0.7839
2019-08-14 00:00:00,-0.3571,-0.913
2019-08-13 00:00:00,-0.4741,-0.9578
2019-08-12 00:00:00,-0.5099,-0.9688
2019-08-09 00:00:00,-0.7178,-0.9999
2019-08-08 00:00:00,-0.8821,-0.9569
2019-08-07 00:00:00,-0.9837,-0.8227
2019-08-06 00:00:00,-0.9787,-0.547
2019-08-05 00:00:00,-0.8358,-0.2028
2019-08-02 00:00:00,-0.6663,0.0561
2019-08-01 00:00:00,-0.5868,0.1577
2019-07-31 00:00:00,-0.5863,0.1582
2019-07-30 00:00:00,-0.6533,0.0734
2019-07-29 00:00:00,-0.6891,0.0252
2019-07-26 00:00:00,-0.7926,-0.1294
2019-07-25 00:00:00,-0.8047,-0.1492
2019-07-24 00:00:00,-0.8045,-0.1489
2019-07-23 00:00:00,-0.8516,-0.2315
2019-07-22 00:00:00,-0.9015,-0.3315
2019-07-19 00:00:00,-0.8938,-0.3148
2019-07-18 00:00:00,-0.8853,-0.2972
2019-07-17 00:00:00,-0.9042,-0.3374
2019-07-16 00:00:00,-0.9019,-0.3324
2019-07-15 00:00:00,-0.9297,-0.3969
2019-07-12 00:00:00,-0.9769,-0.5397
2019-07-11 00:00:00,-0.9843,-0.571
2019-07-10 00:00:00,-0.9855,-0.5769
2019-07-09 00:00:00,-0.98,-0.5523
2019-07-08 00:00:00,-0.9677,-0.5059
2019-07-05 00:00:00,-0.9516,-0.4555
2019-07-03 00:00:00,-0.9313,-0.4011
2019-07-02 00:00:00,-0.9276,-0.3918
2019-07-01 00:00:00,-0.8858,-0.2981
2019-06-28 00:00:00,-0.8228,-0.1799
2019-06-27 00:00:00,-0.6596,0.0651
2019-06-26 00:00:00,-0.5317,0.2229
2019-06-25 00:00:00,-0.3683,0.3969
2019-06-24 00:00:00,-0.0847,0.6446
2019-06-21 00:00:00,0.2178,0.8441
2019-06-20 00:00:00,0.5344,0.9755
2019-06-19 00:00:00,0.8224,0.9838
2019-06-18 00:00:00,0.9101,0.9365
2019-06-17 00:00:00,0.9666,0.8647
2019-06-14 00:00:00,0.9844,0.8205
2019-06-13 00:00:00,0.9954,0.7714
2019-06-12 00:00:00,0.9979,0.7515
