date,MAMA,FAMA
2020-02-03 13:00:19,244.6328,194.1638
2020-01-31 00:00:00,243.9855,193.9102
2020-01-30 00:00:00,243.3237,193.6586
2020-01-29 00:00:00,242.5101,193.409
2020-01-28 00:00:00,241.6835,193.1623
2020-01-27 00:00:00,240.9158,192.9184
2020-01-24 00:00:00,240.2285,192.6772
2020-01-23 00:00:00,239.4398,192.4383
2020-01-22 00:00:00,238.6339,192.2021
2020-01-21 00:00:00,237.8352,191.9688
2020-01-17 00:00:00,237.0399,191.7383
2020-01-16 00:00:00,236.2148,191.5106
2020-01-15 00:00:00,235.4165,191.286
2020-01-14 00:00:00,234.6496,191.0642
2020-01-13 00:00:00,233.8615,190.8452
2020-01-10 00:00:00,233.0221,190.6291
2020-01-09 00:00:00,232.2412,190.416
2020-01-08 00:00:00,231.4595,190.2058
2020-01-07 00:00:00,230.7349,189.9985
2020-01-06 00:00:00,230.0516,189.7938
2020-01-03 00:00:00,229.347,189.5915
2020-01-02 00:00:00,228.6593,189.3918
2019-12-31 00:00:00,227.9352,189.1944
2019-12-30 00:00:00,227.2714,188.9998
2019-12-27 00:00:00,226.6224,188.8074
2019-12-26 00:00:00,225.9842,188.6174
2019-12-24 00:00:00,225.3385,188.4296
2019-12-23 00:00:00,224.7433,188.2442
2019-12-20 00:00:00,224.1447,188.0608
2019-12-19 00:00:00,223.5862,187.8794
2019-12-18 00:00:00,223.0161,187.7
2019-12-17 00:00:00,222.4432,187.5225
2019-12-16 00:00:00,221.8576,187.3471
2019-12-13 00:00:00,221.2718,187.1736
2019-12-12 00:00:00,220.7275,187.0023
2019-12-11 00:00:00,220.2151,186.8328
2019-12-10 00:00:00,219.7044,186.6651
2019-12-09 00:00:00,219.2117,186.499
2019-12-06 00:00:00,218.7298,186.3347
2019-12-05 00:00:00,218.2048,186.1719
2019-12-04 00:00:00,217.7263,186.0109
2019-12-03 00:00:00,217.2817,185.8515
2019-12-02 00:00:00,216.8557,185.6936
2019-11-29 00:00:00,216.3779,185.537
2019-11-27 00:00:00,215.864,185.382
2019-11-26 00:00:00,215.339,185.2288
2019-11-25 00:00:00,214.8446,185.0775
2019-11-22 00:00:00,214.3241,184.9279
2019-11-21 00:00:00,213.8448,184.7802
2019-11-20 00:00:00,213.3583,184.6342
2019-11-19 00:00:00,212.8549,184.4898
2019-11-18 00:00:00,212.3152,184.3473
2019-11-15 00:00:00,211.7618,184.2067
2019-11-14 00:00:00,211.2163,184.0683
2019-11-13 00:00:00,210.6969,183.9319
2019-11-12 00:00:00,210.1537,183.7974
2019-11-11 00:00:00,209.6305,183.6649
2019-11-08 00:00:00,209.0994,183.5344
2019-11-07 00:00:00,208.5839,183.406
2019-11-06 00:00:00,208.0703,183.2794
2019-11-05 00:00:00,207.5736,183.1549
2019-11-04 00:00:00,207.0731,183.0322
2019-11-01 00:00:00,206.5637,182.9113
2019-10-31 00:00:00,206.0662,182.7925
2019-10-30 00:00:00,205.6349,182.6755
2019-10-29 00:00:00,205.2548,182.5602
2019-10-28 00:00:00,204.8707,182.4461
2019-10-25 00:00:00,204.4244,182.3334
2019-10-24 00:00:00,203.9986,182.2224
2019-10-23 00:00:00,203.5988,182.113
2019-10-22 00:00:00,203.199,182.005
