date,PPO
2000-03-07 00:00:00,4.0188
2000-03-08 00:00:00,4.1632
2000-03-09 00:00:00,4.0091
2000-03-10 00:00:00,3.7639
2000-03-13 00:00:00,3.5856
2000-03-14 00:00:00,3.6488
2000-03-15 00:00:00,3.7871
2000-03-16 00:00:00,4.0511
2000-03-17 00:00:00,3.2588
2000-03-20 00:00:00,3.0113
2000-03-21 00:00:00,2.6278
2000-03-22 00:00:00,2.9765
2000-03-23 00:00:00,3.5131
2000-03-24 00:00:00,3.8495
2000-03-27 00:00:00,4.2187
2000-03-28 00:00:00,4.2166
2000-03-29 00:00:00,4.4812
2000-03-30 00:00:00,4.9392
2000-03-31 00:00:00,5.5693
2000-04-03 00:00:00,5.6067
2000-04-04 00:00:00,5.3111
2000-04-05 00:00:00,5.293
2000-04-06 00:00:00,4.8221
2000-04-07 00:00:00,3.7129
2000-04-10 00:00:00,2.7503
2000-04-11 00:00:00,1.6945
2000-04-12 00:00:00,0.1375
2000-04-13 00:00:00,-1.2678
2000-04-14 00:00:00,-2.5339
2000-04-17 00:00:00,-2.6016
2000-04-18 00:00:00,-3.3497
2000-04-19 00:00:00,-4.3451
2000-04-20 00:00:00,-4.9708
2000-04-24 00:00:00,-5.5849
2000-04-25 00:00:00,-5.4756
2000-04-26 00:00:00,-6.1082
2000-04-27 00:00:00,-5.7618
2000-04-28 00:00:00,-4.8824
2000-05-01 00:00:00,-3.3937
2000-05-02 00:00:00,-2.5062
2000-05-03 00:00:00,-1.5535
2000-05-04 00:00:00,-1.571
2000-05-05 00:00:00,-1.8014
2000-05-08 00:00:00,-2.0694
2000-05-09 00:00:00,-2.0489
2000-05-10 00:00:00,-2.4554
2000-05-11 00:00:00,-3.4742
2000-05-12 00:00:00,-3.7261
2000-05-15 00:00:00,-4.7987
2000-05-16 00:00:00,-5.2978
2000-05-17 00:00:00,-6.2146
2000-05-18 00:00:00,-6.8752
2000-05-19 00:00:00,-7.9419
2000-05-22 00:00:00,-8.7283
2000-05-23 00:00:00,-9.9499
2000-05-24 00:00:00,-10.5099
2000-05-25 00:00:00,-10.6493
2000-05-26 00:00:00,-10.5411
2000-05-30 00:00:00,-10.7238
2000-05-31 00:00:00,-11.4077
2000-06-01 00:00:00,-11.0726
2000-06-02 00:00:00,-11.1813
2000-06-05 00:00:00,-10.8111
2000-06-06 00:00:00,-10.3952
2000-06-07 00:00:00,-9.2053
2000-06-08 00:00:00,-7.9621
2000-06-09 00:00:00,-6.3982
2000-06-12 00:00:00,-5.3623
2000-06-13 00:00:00,-4.0176
2000-06-14 00:00:00,-2.8894
2000-06-15 00:00:00,-1.9431
2000-06-16 00:00:00,-0.9762
2000-06-19 00:00:00,-0.0546
2000-06-20 00:00:00,0.9857
2000-06-21 00:00:00,-0.3393
2000-06-22 00:00:00,-1.7587
2000-06-23 00:00:00,-3.8867
2000-06-26 00:00:00,-5.8312
2000-06-27 00:00:00,-8.3721
2000-06-28 00:00:00,-10.562
2000-06-29 00:00:00,-13.5297
2000-06-30 00:00:00,-16.0255
2000-07-03 00:00:00,-18.7669
2000-07-05 00:00:00,-21.6244
2000-07-06 00:00:00,-25.1192
2000-07-07 00:00:00,-29.192
2000-07-10 00:00:00,-27.8393
2000-07-11 00:00:00,-26.1036
2000-07-12 00:00:00,-23.9623
2000-07-13 00:00:00,-22.1511
2000-07-14 00:00:00,-19.7164
2000-07-17 00:00:00,-17.5441
2000-07-18 00:00:00,-14.9065
2000-07-19 00:00:00,-12.8901
2000-07-20 00:00:00,-10.5276
2000-07-21 00:00:00,-8.1771
2000-07-24 00:00:00,-6.0088
2000-07-25 00:00:00,-4.0603
2000-07-26 00:00:00,-2.0365
2000-07-27 00:00:00,0.6431
2000-07-28 00:00:00,-0.4715
2000-07-31 00:00:00,-1.1475
2000-08-01 00:00:00,-2.2857
2000-08-02 00:00:00,-3.5336
2000-08-03 00:00:00,-4.7257
2000-08-04 00:00:00,-5.0743
2000-08-07 00:00:00,-5.9837
2000-08-08 00:00:00,-6.6785
2000-08-09 00:00:00,-6.4688
2000-08-10 00:00:00,-6.5879
2000-08-11 00:00:00,-6.6833
2000-08-14 00:00:00,-6.9681
2000-08-15 00:00:00,-6.5017
2000-08-16 00:00:00,-6.2833
2000-08-17 00:00:00,-5.4015
2000-08-18 00:00:00,-4.4757
2000-08-21 00:00:00,-3.531
2000-08-22 00:00:00,-2.3156
2000-08-23 00:00:00,-1.024
2000-08-24 00:00:00,0.2814
2000-08-25 00:00:00,1.7078
2000-08-28 00:00:00,3.1053
2000-08-29 00:00:00,4.1801
2000-08-30 00:00:00,5.4765
2000-08-31 00:00:00,6.9337
2000-09-01 00:00:00,8.4334
2000-09-05 00:00:00,9.0607
2000-09-06 00:00:00,9.791
2000-09-07 00:00:00,10.5886
2000-09-08 00:00:00,10.7842
2000-09-11 00:00:00,10.5971
2000-09-12 00:00:00,10.0356
2000-09-13 00:00:00,9.4375
2000-09-14 00:00:00,8.4818
2000-09-15 00:00:00,7.3016
2000-09-18 00:00:00,6.5059
2000-09-19 00:00:00,5.4659
2000-09-20 00:00:00,4.1163
2000-09-21 00:00:00,2.5781
2000-09-22 00:00:00,1.4157
2000-09-25 00:00:00,0.0419
2000-09-26 00:00:00,-1.1335
2000-09-27 00:00:00,-2.4093
2000-09-28 00:00:00,-3.1437
2000-09-29 00:00:00,-6.0237
2000-10-02 00:00:00,-8.8631
2000-10-03 00:00:00,-11.7132
2000-10-04 00:00:00,-15.3652
2000-10-05 00:00:00,-19.1796
2000-10-06 00:00:00,-23.3672
2000-10-09 00:00:00,-27.0171
2000-10-10 00:00:00,-30.0608
2000-10-11 00:00:00,-33.7882
2000-10-12 00:00:00,-37.5725
2000-10-13 00:00:00,-40.6351
2000-10-16 00:00:00,-45.1241
2000-10-17 00:00:00,-44.2515
