date,ROCR
2000-02-29 00:00:00,1.1048
2000-03-01 00:00:00,1.2999
2000-03-02 00:00:00,1.2347
2000-03-03 00:00:00,1.239
2000-03-06 00:00:00,1.1638
2000-03-07 00:00:00,1.0772
2000-03-08 00:00:00,1.0621
2000-03-09 00:00:00,1.0855
2000-03-10 00:00:00,1.1079
2000-03-13 00:00:00,1.1155
2000-03-14 00:00:00,0.9865
2000-03-15 00:00:00,0.9769
2000-03-16 00:00:00,1.0652
2000-03-17 00:00:00,1.0882
2000-03-20 00:00:00,1.1056
2000-03-21 00:00:00,1.1857
2000-03-22 00:00:00,1.2403
2000-03-23 00:00:00,1.2266
2000-03-24 00:00:00,1.2566
2000-03-27 00:00:00,1.2323
2000-03-28 00:00:00,1.2138
2000-03-29 00:00:00,1.0432
2000-03-30 00:00:00,1.0307
2000-03-31 00:00:00,1.061
2000-04-03 00:00:00,1.0606
2000-04-04 00:00:00,1.0361
2000-04-05 00:00:00,1.0687
2000-04-06 00:00:00,1.024
2000-04-07 00:00:00,1.0477
2000-04-10 00:00:00,1.0304
2000-04-11 00:00:00,1.0454
2000-04-12 00:00:00,0.9398
2000-04-13 00:00:00,0.9362
2000-04-14 00:00:00,0.895
2000-04-17 00:00:00,1.0071
2000-04-18 00:00:00,0.9402
2000-04-19 00:00:00,0.84
2000-04-20 00:00:00,0.8412
2000-04-24 00:00:00,0.8688
2000-04-25 00:00:00,0.9194
2000-04-26 00:00:00,0.8719
2000-04-27 00:00:00,0.9324
2000-04-28 00:00:00,0.9866
2000-05-01 00:00:00,0.9153
2000-05-02 00:00:00,0.8842
2000-05-03 00:00:00,0.9038
2000-05-04 00:00:00,0.849
2000-05-05 00:00:00,0.9036
2000-05-08 00:00:00,0.8358
2000-05-09 00:00:00,0.8435
2000-05-10 00:00:00,0.8315
2000-05-11 00:00:00,0.9411
2000-05-12 00:00:00,0.9456
2000-05-15 00:00:00,0.9028
2000-05-16 00:00:00,0.8532
2000-05-17 00:00:00,0.799
2000-05-18 00:00:00,0.8318
2000-05-19 00:00:00,0.7908
2000-05-22 00:00:00,0.7464
2000-05-23 00:00:00,0.6688
2000-05-24 00:00:00,0.7229
2000-05-25 00:00:00,0.6885
2000-05-26 00:00:00,0.6962
2000-05-30 00:00:00,0.7044
2000-05-31 00:00:00,0.7126
2000-06-01 00:00:00,0.7746
2000-06-02 00:00:00,0.8362
2000-06-05 00:00:00,0.8072
2000-06-06 00:00:00,0.8434
2000-06-07 00:00:00,0.9158
2000-06-08 00:00:00,0.9547
2000-06-09 00:00:00,0.9313
2000-06-12 00:00:00,0.8473
2000-06-13 00:00:00,0.9356
2000-06-14 00:00:00,0.8557
2000-06-15 00:00:00,0.9112
2000-06-16 00:00:00,0.9051
2000-06-19 00:00:00,1.0279
2000-06-20 00:00:00,1.1258
2000-06-21 00:00:00,0.6483
2000-06-22 00:00:00,0.613
2000-06-23 00:00:00,0.5923
2000-06-26 00:00:00,0.6267
2000-06-27 00:00:00,0.591
2000-06-28 00:00:00,0.6481
2000-06-29 00:00:00,0.5751
2000-06-30 00:00:00,0.5659
2000-07-03 00:00:00,0.5838
2000-07-05 00:00:00,0.5559
2000-07-06 00:00:00,0.5366
2000-07-07 00:00:00,0.5742
2000-07-10 00:00:00,0.5967
2000-07-11 00:00:00,0.6244
2000-07-12 00:00:00,0.6231
2000-07-13 00:00:00,0.6247
2000-07-14 00:00:00,0.6246
2000-07-17 00:00:00,0.6394
2000-07-18 00:00:00,0.5925
2000-07-19 00:00:00,0.5204
2000-07-20 00:00:00,0.991
2000-07-21 00:00:00,0.9965
2000-07-24 00:00:00,0.942
2000-07-25 00:00:00,0.9248
2000-07-26 00:00:00,0.9673
2000-07-27 00:00:00,0.9552
2000-07-28 00:00:00,0.9426
2000-07-31 00:00:00,0.97
2000-08-01 00:00:00,0.925
2000-08-02 00:00:00,0.9152
2000-08-03 00:00:00,0.9265
2000-08-04 00:00:00,0.8703
2000-08-07 00:00:00,0.8391
2000-08-08 00:00:00,0.821
2000-08-09 00:00:00,0.8067
2000-08-10 00:00:00,0.8418
2000-08-11 00:00:00,0.8267
2000-08-14 00:00:00,0.8071
2000-08-15 00:00:00,0.8155
2000-08-16 00:00:00,0.9205
2000-08-17 00:00:00,0.9331
2000-08-18 00:00:00,0.9335
2000-08-21 00:00:00,1.0372
2000-08-22 00:00:00,1.0326
2000-08-23 00:00:00,1.0849
2000-08-24 00:00:00,1.079
2000-08-25 00:00:00,1.1759
2000-08-28 00:00:00,1.1427
2000-08-29 00:00:00,1.2004
2000-08-30 00:00:00,1.2593
2000-08-31 00:00:00,1.2696
2000-09-01 00:00:00,1.339
2000-09-05 00:00:00,1.3025
2000-09-06 00:00:00,1.2501
2000-09-07 00:00:00,1.3053
2000-09-08 00:00:00,1.238
2000-09-11 00:00:00,1.2254
2000-09-12 00:00:00,1.2272
2000-09-13 00:00:00,1.2422
2000-09-14 00:00:00,1.1724
2000-09-15 00:00:00,1.0737
2000-09-18 00:00:00,1.2132
2000-09-19 00:00:00,1.1869
2000-09-20 00:00:00,1.1811
2000-09-21 00:00:00,1.0438
2000-09-22 00:00:00,0.9301
2000-09-25 00:00:00,0.9417
2000-09-26 00:00:00,0.886
2000-09-27 00:00:00,0.8268
2000-09-28 00:00:00,0.8992
2000-09-29 00:00:00,0.4225
2000-10-02 00:00:00,0.3823
2000-10-03 00:00:00,0.3573
2000-10-04 00:00:00,0.4042
2000-10-05 00:00:00,0.3558
2000-10-06 00:00:00,0.3769
2000-10-09 00:00:00,0.3722
2000-10-10 00:00:00,0.3614
2000-10-11 00:00:00,0.3383
2000-10-12 00:00:00,0.3517
2000-10-13 00:00:00,0.3994
2000-10-16 00:00:00,0.3544
2000-10-17 00:00:00,0.3357
2000-10-18 00:00:00,0.3296
2000-10-19 00:00:00,0.3341
2000-10-20 00:00:00,0.3736
2000-10-23 00:00:00,0.3807
2000-10-24 00:00:00,0.3668
2000-10-25 00:00:00,0.378
2000-10-26 00:00:00,0.3458
2000-10-27 00:00:00,0.7208
2000-10-30 00:00:00,0.7963
2000-10-31 00:00:00,0.8767
2000-11-01 00:00:00,0.8679
2000-11-02 00:00:00,1.0113
2000-11-03 00:00:00,1.0027
2000-11-06 00:00:00,0.9857
2000-11-07 00:00:00,1.0211
2000-11-08 00:00:00,1.0224
