date,SlowK,SlowD
2020-02-03 13:01:27,42.6782,61.3785
2020-01-31 00:00:00,62.5163,66.7313
2020-01-30 00:00:00,78.941,60.4733
2020-01-29 00:00:00,58.7366,51.0679
2020-01-28 00:00:00,43.7421,54.6203
2020-01-27 00:00:00,50.7251,66.9922
2020-01-24 00:00:00,69.3936,78.0933
2020-01-23 00:00:00,80.8579,82.631
2020-01-22 00:00:00,84.0284,80.1337
2020-01-21 00:00:00,83.0067,73.93
2020-01-17 00:00:00,73.366,70.7834
2020-01-16 00:00:00,65.4175,75.6332
2020-01-15 00:00:00,73.5667,85.2914
2020-01-14 00:00:00,87.9155,91.1065
2020-01-13 00:00:00,94.3919,90.9932
2020-01-10 00:00:00,91.012,88.6459
2020-01-09 00:00:00,87.5756,86.3231
2020-01-08 00:00:00,87.35,87.4218
2020-01-07 00:00:00,84.0437,88.8518
2020-01-06 00:00:00,90.8716,91.672
2020-01-03 00:00:00,91.6402,89.3842
2020-01-02 00:00:00,92.5042,87.0938
2019-12-31 00:00:00,84.0082,85.4293
2019-12-30 00:00:00,84.7691,89.1153
2019-12-27 00:00:00,87.5107,86.3254
2019-12-26 00:00:00,95.0662,81.8057
2019-12-24 00:00:00,76.3993,73.6095
2019-12-23 00:00:00,73.9516,76.8802
2019-12-20 00:00:00,70.4776,82.1788
2019-12-19 00:00:00,86.2114,90.1213
2019-12-18 00:00:00,89.8476,92.2674
2019-12-17 00:00:00,94.3049,93.4555
2019-12-16 00:00:00,92.6498,90.6051
2019-12-13 00:00:00,93.4119,86.8221
2019-12-12 00:00:00,85.7536,83.0041
2019-12-11 00:00:00,81.3008,81.9716
2019-12-10 00:00:00,81.9579,79.4571
2019-12-09 00:00:00,82.656,68.7674
2019-12-06 00:00:00,73.7576,52.422
2019-12-05 00:00:00,49.8885,43.9268
2019-12-04 00:00:00,33.6198,51.3455
2019-12-03 00:00:00,48.272,67.3732
2019-12-02 00:00:00,72.1446,77.2977
2019-11-29 00:00:00,81.7029,70.3889
2019-11-27 00:00:00,78.0454,56.254
2019-11-26 00:00:00,51.4183,38.6891
2019-11-25 00:00:00,39.2982,36.3519
2019-11-22 00:00:00,25.3509,46.2487
2019-11-21 00:00:00,44.4065,67.7972
2019-11-20 00:00:00,68.9887,82.636
2019-11-19 00:00:00,89.9963,89.4096
2019-11-18 00:00:00,88.9229,87.9683
2019-11-15 00:00:00,89.3096,89.562
2019-11-14 00:00:00,85.6723,90.8044
2019-11-13 00:00:00,93.7041,93.5877
2019-11-12 00:00:00,93.0367,93.6117
2019-11-11 00:00:00,94.0223,93.9522
2019-11-08 00:00:00,93.776,94.6915
2019-11-07 00:00:00,94.0583,95.9518
2019-11-06 00:00:00,96.2402,96.7999
2019-11-05 00:00:00,97.5568,88.6631
2019-11-04 00:00:00,96.6028,71.7381
2019-11-01 00:00:00,71.8297,55.7811
2019-10-31 00:00:00,46.7819,56.3485
2019-10-30 00:00:00,48.7316,72.3902
2019-10-29 00:00:00,73.532,87.9442
2019-10-28 00:00:00,94.9069,92.643
2019-10-25 00:00:00,95.3936,90.8221
2019-10-24 00:00:00,87.6286,85.0248
2019-10-23 00:00:00,89.444,79.1386
2019-10-22 00:00:00,78.0018,69.4714
2019-10-21 00:00:00,69.9698,64.9983
2019-10-18 00:00:00,60.4425,66.8228
2019-10-17 00:00:00,64.5825,74.4897
2019-10-16 00:00:00,75.4433,82.6856
2019-10-15 00:00:00,83.4433,86.9062
2019-10-14 00:00:00,89.1701,85.5017
2019-10-11 00:00:00,88.1051,80.627
2019-10-10 00:00:00,79.2298,77.2576
2019-10-09 00:00:00,74.5461,74.7165
2019-10-08 00:00:00,77.9968,66.4856
2019-10-07 00:00:00,71.6067,54.4915
2019-10-04 00:00:00,49.8534,49.9986
2019-10-03 00:00:00,42.0143,54.5406
2019-10-02 00:00:00,58.1281,59.862
2019-10-01 00:00:00,63.4793,56.1411
2019-09-30 00:00:00,57.9788,47.9763
2019-09-27 00:00:00,46.9652,38.2114
2019-09-26 00:00:00,38.9848,26.0431
2019-09-25 00:00:00,28.6843,22.2014
2019-09-24 00:00:00,10.4602,26.3861
2019-09-23 00:00:00,27.4598,40.5412
2019-09-20 00:00:00,41.2383,48.7207
2019-09-19 00:00:00,52.9254,51.07
2019-09-18 00:00:00,51.9985,53.8707
2019-09-17 00:00:00,48.286,61.7997
2019-09-16 00:00:00,61.3275,76.4242
2019-09-13 00:00:00,75.7856,87.0516
2019-09-12 00:00:00,92.1595,91.7015
2019-09-11 00:00:00,93.2096,90.201
2019-09-10 00:00:00,89.7352,88.451
2019-09-09 00:00:00,87.6581,81.7205
2019-09-06 00:00:00,87.9596,73.8039
2019-09-05 00:00:00,69.5438,64.6928
2019-09-04 00:00:00,63.9084,61.7579
2019-09-03 00:00:00,60.6263,54.8685
