date,TRANGE
2000-02-01 00:00:00,5.0
2000-02-02 00:00:00,5.12
2000-02-03 00:00:00,5.44
2000-02-04 00:00:00,6.69
2000-02-07 00:00:00,8.31
2000-02-08 00:00:00,4.87
2000-02-09 00:00:00,4.68
2000-02-10 00:00:00,3.87
2000-02-11 00:00:00,5.87
2000-02-14 00:00:00,7.25
2000-02-15 00:00:00,4.75
2000-02-16 00:00:00,6.88
2000-02-17 00:00:00,2.38
2000-02-18 00:00:00,4.5
2000-02-22 00:00:00,10.25
2000-02-23 00:00:00,8.0
2000-02-24 00:00:00,7.37
2000-02-25 00:00:00,6.88
2000-02-28 00:00:00,6.63
2000-02-29 00:00:00,4.69
2000-03-01 00:00:00,17.44
2000-03-02 00:00:00,9.62
2000-03-03 00:00:00,8.23
2000-03-06 00:00:00,4.13
2000-03-07 00:00:00,6.32
2000-03-08 00:00:00,5.38
2000-03-09 00:00:00,6.75
2000-03-10 00:00:00,6.94
2000-03-13 00:00:00,7.0
2000-03-14 00:00:00,10.25
2000-03-15 00:00:00,6.13
2000-03-16 00:00:00,7.5
2000-03-17 00:00:00,5.38
2000-03-20 00:00:00,3.88
2000-03-21 00:00:00,15.13
2000-03-22 00:00:00,12.82
2000-03-23 00:00:00,10.38
2000-03-24 00:00:00,8.44
2000-03-27 00:00:00,7.87
2000-03-28 00:00:00,4.87
2000-03-29 00:00:00,5.61
2000-03-30 00:00:00,12.25
2000-03-31 00:00:00,11.5
2000-04-03 00:00:00,10.06
2000-04-04 00:00:00,16.56
2000-04-05 00:00:00,8.88
2000-04-06 00:00:00,11.25
2000-04-07 00:00:00,6.69
2000-04-10 00:00:00,8.0
2000-04-11 00:00:00,6.94
2000-04-12 00:00:00,14.57
2000-04-13 00:00:00,11.5
2000-04-14 00:00:00,9.0
2000-04-17 00:00:00,14.88
2000-04-18 00:00:00,7.5
2000-04-19 00:00:00,10.5
2000-04-20 00:00:00,7.69
2000-04-24 00:00:00,5.75
2000-04-25 00:00:00,8.25
2000-04-26 00:00:00,8.31
2000-04-27 00:00:00,10.42
2000-04-28 00:00:00,6.19
2000-05-01 00:00:00,3.25
2000-05-02 00:00:00,8.75
2000-05-03 00:00:00,9.63
2000-05-04 00:00:00,4.69
2000-05-05 00:00:00,4.06
2000-05-08 00:00:00,3.69
2000-05-09 00:00:00,6.38
2000-05-10 00:00:00,6.69
2000-05-11 00:00:00,5.25
2000-05-12 00:00:00,7.69
2000-05-15 00:00:00,7.94
2000-05-16 00:00:00,8.06
2000-05-17 00:00:00,5.32
2000-05-18 00:00:00,4.32
2000-05-19 00:00:00,7.38
2000-05-22 00:00:00,8.0
2000-05-23 00:00:00,7.75
2000-05-24 00:00:00,6.75
2000-05-25 00:00:00,6.66
2000-05-26 00:00:00,4.62
2000-05-30 00:00:00,6.37
2000-05-31 00:00:00,7.44
2000-06-01 00:00:00,9.19
2000-06-02 00:00:00,10.75
2000-06-05 00:00:00,5.56
2000-06-06 00:00:00,6.44
2000-06-07 00:00:00,5.38
2000-06-08 00:00:00,5.38
2000-06-09 00:00:00,3.57
2000-06-12 00:00:00,5.57
2000-06-13 00:00:00,6.5
2000-06-14 00:00:00,6.13
2000-06-15 00:00:00,4.37
2000-06-16 00:00:00,4.69
2000-06-19 00:00:00,8.06
2000-06-20 00:00:00,7.32
2000-06-21 00:00:00,50.94
2000-06-22 00:00:00,4.07
2000-06-23 00:00:00,3.82
2000-06-26 00:00:00,3.06
2000-06-27 00:00:00,3.87
2000-06-28 00:00:00,3.88
2000-06-29 00:00:00,3.38
2000-06-30 00:00:00,3.69
2000-07-03 00:00:00,2.18
2000-07-05 00:00:00,4.44
2000-07-06 00:00:00,3.31
2000-07-07 00:00:00,3.0
2000-07-10 00:00:00,4.5
2000-07-11 00:00:00,3.81
2000-07-12 00:00:00,2.56
2000-07-13 00:00:00,5.88
2000-07-14 00:00:00,2.5
2000-07-17 00:00:00,1.68
2000-07-18 00:00:00,2.0
2000-07-19 00:00:00,5.5
2000-07-20 00:00:00,4.37
2000-07-21 00:00:00,2.69
2000-07-24 00:00:00,6.06
2000-07-25 00:00:00,1.94
2000-07-26 00:00:00,2.0
2000-07-27 00:00:00,3.37
2000-07-28 00:00:00,5.62
2000-07-31 00:00:00,3.32
2000-08-01 00:00:00,1.91
2000-08-02 00:00:00,2.75
2000-08-03 00:00:00,3.81
2000-08-04 00:00:00,4.94
2000-08-07 00:00:00,1.87
2000-08-08 00:00:00,1.69
2000-08-09 00:00:00,1.69
2000-08-10 00:00:00,1.06
2000-08-11 00:00:00,2.44
2000-08-14 00:00:00,1.38
2000-08-15 00:00:00,1.44
2000-08-16 00:00:00,2.31
2000-08-17 00:00:00,4.13
2000-08-18 00:00:00,1.93
2000-08-21 00:00:00,1.93
2000-08-22 00:00:00,2.43
2000-08-23 00:00:00,3.69
2000-08-24 00:00:00,3.25
2000-08-25 00:00:00,1.39
2000-08-28 00:00:00,2.19
2000-08-29 00:00:00,1.75
2000-08-30 00:00:00,1.3
2000-08-31 00:00:00,2.56
2000-09-01 00:00:00,2.69
2000-09-05 00:00:00,1.87
2000-09-06 00:00:00,4.69
2000-09-07 00:00:00,4.31
2000-09-08 00:00:00,3.5
2000-09-11 00:00:00,2.25
2000-09-12 00:00:00,3.06
2000-09-13 00:00:00,2.75
2000-09-14 00:00:00,2.82
2000-09-15 00:00:00,3.94
2000-09-18 00:00:00,5.69
2000-09-19 00:00:00,2.1
2000-09-20 00:00:00,2.88
2000-09-21 00:00:00,5.8
2000-09-22 00:00:00,6.69
2000-09-25 00:00:00,3.44
2000-09-26 00:00:00,3.37
2000-09-27 00:00:00,4.5
2000-09-28 00:00:00,5.68
2000-09-29 00:00:00,28.13
2000-10-02 00:00:00,3.25
2000-10-03 00:00:00,2.81
2000-10-04 00:00:00,1.88
2000-10-05 00:00:00,2.5
2000-10-06 00:00:00,1.94
2000-10-09 00:00:00,1.75
2000-10-10 00:00:00,1.94
2000-10-11 00:00:00,1.88
2000-10-12 00:00:00,1.31
2000-10-13 00:00:00,2.12
2000-10-16 00:00:00,1.88
2000-10-17 00:00:00,2.25
2000-10-18 00:00:00,2.31
2000-10-19 00:00:00,1.81
2000-10-20 00:00:00,1.43
2000-10-23 00:00:00,1.12
2000-10-24 00:00:00,2.06
2000-10-25 00:00:00,0.75
2000-10-26 00:00:00,1.37
2000-10-27 00:00:00,1.32
2000-10-30 00:00:00,1.38
2000-10-31 00:00:00,1.0
2000-11-01 00:00:00,1.43
2000-11-02 00:00:00,1.94
2000-11-03 00:00:00,1.06
2000-11-06 00:00:00,1.75
2000-11-07 00:00:00,1.0
2000-11-08 00:00:00,1.63
2000-11-09 00:00:00,1.44
2000-11-10 00:00:00,1.13
2000-11-13 00:00:00,1.75
2000-11-14 00:00:00,1.13
2000-11-15 00:00:00,1.0
2000-11-16 00:00:00,1.0
2000-11-17 00:00:00,1.0
2000-11-20 00:00:00,1.25
2000-11-21 00:00:00,0.75
2000-11-22 00:00:00,0.75
2000-11-24 00:00:00,1.0
2000-11-27 00:00:00,1.44
2000-11-28 00:00:00,1.06
2000-11-29 00:00:00,1.06
2000-11-30 00:00:00,1.44
2000-12-01 00:00:00,1.0
2000-12-04 00:00:00,0.75
2000-12-05 00:00:00,1.07
2000-12-06 00:00:00,3.0
2000-12-07 00:00:00,0.88
2000-12-08 00:00:00,1.0
2000-12-11 00:00:00,0.5
2000-12-12 00:00:00,1.0
2000-12-13 00:00:00,0.68
2000-12-14 00:00:00,0.81
2000-12-15 00:00:00,0.69
2000-12-18 00:00:00,0.69
2000-12-19 00:00:00,1.25
2000-12-20 00:00:00,1.0
2000-12-21 00:00:00,1.12
2000-12-22 00:00:00,0.94
2000-12-26 00:00:00,0.75
2000-12-27 00:00:00,0.62
2000-12-28 00:00:00,0.63
2000-12-29 00:00:00,0.5
2001-01-02 00:00:00,0.69
2001-01-03 00:00:00,2.25
2001-01-04 00:00:00,2.13
2001-01-05 00:00:00,1.31
2001-01-08 00:00:00,1.04
2001-01-09 00:00:00,1.08
2001-01-10 00:00:00,1.13
2001-01-11 00:00:00,2.25
2001-01-12 00:00:00,0.94
2001-01-16 00:00:00,1.25
2001-01-17 00:00:00,1.06
2001-01-18 00:00:00,1.94
2001-01-19 00:00:00,0.87
2001-01-22 00:00:00,1.18
2001-01-23 00:00:00,1.88
2001-01-24 00:00:00,1.13
2001-01-25 00:00:00,0.81
2001-01-26 00:00:00,0.88
2001-01-29 00:00:00,2.19
2001-01-30 00:00:00,1.13
2001-01-31 00:00:00,1.06
2001-02-01 00:00:00,1.12
2001-02-02 00:00:00,1.44
2001-02-05 00:00:00,0.87
2001-02-06 00:00:00,1.39
2001-02-07 00:00:00,1.31
2001-02-08 00:00:00,0.87
2001-02-09 00:00:00,2.12
2001-02-12 00:00:00,1.19
2001-02-13 00:00:00,1.44
2001-02-14 00:00:00,1.12
2001-02-15 00:00:00,1.06
2001-02-16 00:00:00,1.31
2001-02-20 00:00:00,1.25
2001-02-21 00:00:00,1.69
2001-02-22 00:00:00,1.37
2001-02-23 00:00:00,0.62
2001-02-26 00:00:00,1.13
2001-02-27 00:00:00,0.81
2001-02-28 00:00:00,1.32
2001-03-01 00:00:00,1.56
2001-03-02 00:00:00,2.19
2001-03-05 00:00:00,1.25
2001-03-06 00:00:00,1.69
2001-03-07 00:00:00,0.87
2001-03-08 00:00:00,0.81
2001-03-09 00:00:00,0.81
2001-03-12 00:00:00,2.13
2001-03-13 00:00:00,1.37
2001-03-14 00:00:00,2.06
2001-03-15 00:00:00,1.68
2001-03-16 00:00:00,1.44
2001-03-19 00:00:00,1.12
2001-03-20 00:00:00,1.25
2001-03-21 00:00:00,1.5
2001-03-22 00:00:00,1.63
2001-03-23 00:00:00,1.94
2001-03-26 00:00:00,2.62
2001-03-27 00:00:00,1.27
2001-03-28 00:00:00,1.37
2001-03-29 00:00:00,1.95
2001-03-30 00:00:00,1.38
2001-04-02 00:00:00,1.26
2001-04-03 00:00:00,1.46
2001-04-04 00:00:00,1.5
2001-04-05 00:00:00,3.0
2001-04-06 00:00:00,1.14
2001-04-09 00:00:00,1.28
2001-04-10 00:00:00,2.16
2001-04-11 00:00:00,1.72
2001-04-12 00:00:00,1.87
2001-04-16 00:00:00,1.56
2001-04-17 00:00:00,1.84
2001-04-18 00:00:00,3.68
2001-04-19 00:00:00,2.96
2001-04-20 00:00:00,1.12
2001-04-23 00:00:00,1.04
2001-04-24 00:00:00,1.24
2001-04-25 00:00:00,1.29
2001-04-26 00:00:00,1.42
2001-04-27 00:00:00,1.6
2001-04-30 00:00:00,2.25
2001-05-01 00:00:00,1.3
2001-05-02 00:00:00,0.94
2001-05-03 00:00:00,1.86
2001-05-04 00:00:00,1.89
2001-05-07 00:00:00,0.92
2001-05-08 00:00:00,1.5
2001-05-09 00:00:00,0.9
2001-05-10 00:00:00,1.55
2001-05-11 00:00:00,0.73
2001-05-14 00:00:00,0.93
2001-05-15 00:00:00,2.46
2001-05-16 00:00:00,1.65
2001-05-17 00:00:00,1.08
2001-05-18 00:00:00,0.52
2001-05-21 00:00:00,0.86
2001-05-22 00:00:00,0.73
2001-05-23 00:00:00,0.89
2001-05-24 00:00:00,0.68
2001-05-25 00:00:00,0.79
2001-05-29 00:00:00,1.95
2001-05-30 00:00:00,2.17
2001-05-31 00:00:00,0.75
2001-06-01 00:00:00,1.14
2001-06-04 00:00:00,0.65
2001-06-05 00:00:00,0.75
2001-06-06 00:00:00,0.61
2001-06-07 00:00:00,1.25
2001-06-08 00:00:00,0.95
2001-06-11 00:00:00,1.37
2001-06-12 00:00:00,0.93
2001-06-13 00:00:00,1.67
2001-06-14 00:00:00,0.7
2001-06-15 00:00:00,1.4
2001-06-18 00:00:00,0.85
2001-06-19 00:00:00,1.39
2001-06-20 00:00:00,1.87
2001-06-21 00:00:00,1.9
2001-06-22 00:00:00,1.24
2001-06-25 00:00:00,1.74
2001-06-26 00:00:00,0.98
2001-06-27 00:00:00,1.5
2001-06-28 00:00:00,0.97
2001-06-29 00:00:00,1.9
2001-07-02 00:00:00,1.09
2001-07-03 00:00:00,0.68
2001-07-05 00:00:00,0.83
2001-07-06 00:00:00,1.47
2001-07-09 00:00:00,1.32
2001-07-10 00:00:00,2.23
2001-07-11 00:00:00,1.55
2001-07-12 00:00:00,2.27
2001-07-13 00:00:00,1.17
2001-07-16 00:00:00,1.19
2001-07-17 00:00:00,2.21
2001-07-18 00:00:00,4.68
2001-07-19 00:00:00,1.67
2001-07-20 00:00:00,0.57
2001-07-23 00:00:00,0.99
2001-07-24 00:00:00,1.19
2001-07-25 00:00:00,1.33
2001-07-26 00:00:00,0.95
2001-07-27 00:00:00,0.75
2001-07-30 00:00:00,0.85
2001-07-31 00:00:00,0.91
2001-08-01 00:00:00,0.99
2001-08-02 00:00:00,0.81
2001-08-03 00:00:00,0.9
2001-08-06 00:00:00,0.66
2001-08-07 00:00:00,0.69
2001-08-08 00:00:00,1.16
2001-08-09 00:00:00,0.43
2001-08-10 00:00:00,0.73
2001-08-13 00:00:00,0.57
2001-08-14 00:00:00,0.69
2001-08-15 00:00:00,0.74
2001-08-16 00:00:00,0.78
2001-08-17 00:00:00,0.66
2001-08-20 00:00:00,0.42
2001-08-21 00:00:00,0.44
2001-08-22 00:00:00,0.64
2001-08-23 00:00:00,0.76
2001-08-24 00:00:00,0.97
2001-08-27 00:00:00,1.14
2001-08-28 00:00:00,0.74
2001-08-29 00:00:00,1.0
2001-08-30 00:00:00,0.9
2001-08-31 00:00:00,0.95
2001-09-04 00:00:00,0.9
2001-09-05 00:00:00,0.83
2001-09-06 00:00:00,1.28
2001-09-07 00:00:00,0.9
2001-09-10 00:00:00,0.58
2001-09-17 00:00:00,1.64
2001-09-18 00:00:00,1.55
2001-09-19 00:00:00,1.5
2001-09-20 00:00:00,1.52
2001-09-21 00:00:00,1.57
2001-09-24 00:00:00,1.11
2001-09-25 00:00:00,1.1
2001-09-26 00:00:00,0.96
2001-09-27 00:00:00,0.6
2001-09-28 00:00:00,0.52
2001-10-01 00:00:00,0.76
2001-10-02 00:00:00,0.95
2001-10-03 00:00:00,0.53
2001-10-04 00:00:00,1.27
2001-10-05 00:00:00,1.16
2001-10-08 00:00:00,0.85
2001-10-09 00:00:00,0.57
2001-10-10 00:00:00,0.9
2001-10-11 00:00:00,0.92
2001-10-12 00:00:00,1.22
2001-10-15 00:00:00,0.43
2001-10-16 00:00:00,0.43
2001-10-17 00:00:00,1.45
2001-10-18 00:00:00,1.24
2001-10-19 00:00:00,0.52
2001-10-22 00:00:00,0.98
2001-10-23 00:00:00,1.55
2001-10-24 00:00:00,1.34
2001-10-25 00:00:00,1.09
2001-10-26 00:00:00,0.63
