date,TRIX
2000-04-24 00:00:00,0.0966
2000-04-25 00:00:00,0.0783
2000-04-26 00:00:00,0.061
2000-04-27 00:00:00,0.0487
2000-04-28 00:00:00,0.0383
2000-05-01 00:00:00,0.0299
2000-05-02 00:00:00,0.0186
2000-05-03 00:00:00,0.0035
2000-05-04 00:00:00,-0.0171
2000-05-05 00:00:00,-0.0396
2000-05-08 00:00:00,-0.0649
2000-05-09 00:00:00,-0.0949
2000-05-10 00:00:00,-0.1319
2000-05-11 00:00:00,-0.1707
2000-05-12 00:00:00,-0.2063
2000-05-15 00:00:00,-0.2433
2000-05-16 00:00:00,-0.2768
2000-05-17 00:00:00,-0.31
2000-05-18 00:00:00,-0.3422
2000-05-19 00:00:00,-0.3775
2000-05-22 00:00:00,-0.417
2000-05-23 00:00:00,-0.4614
2000-05-24 00:00:00,-0.5069
2000-05-25 00:00:00,-0.5521
2000-05-26 00:00:00,-0.5964
2000-05-30 00:00:00,-0.6379
2000-05-31 00:00:00,-0.6785
2000-06-01 00:00:00,-0.7133
2000-06-02 00:00:00,-0.74
2000-06-05 00:00:00,-0.7605
2000-06-06 00:00:00,-0.774
2000-06-07 00:00:00,-0.7787
2000-06-08 00:00:00,-0.7772
2000-06-09 00:00:00,-0.7699
2000-06-12 00:00:00,-0.7613
2000-06-13 00:00:00,-0.7488
2000-06-14 00:00:00,-0.7361
2000-06-15 00:00:00,-0.7217
2000-06-16 00:00:00,-0.7066
2000-06-19 00:00:00,-0.6864
2000-06-20 00:00:00,-0.6586
2000-06-21 00:00:00,-0.6624
2000-06-22 00:00:00,-0.6914
2000-06-23 00:00:00,-0.7402
2000-06-26 00:00:00,-0.8005
2000-06-27 00:00:00,-0.8699
2000-06-28 00:00:00,-0.9422
2000-06-29 00:00:00,-1.0175
2000-06-30 00:00:00,-1.0923
2000-07-03 00:00:00,-1.1639
2000-07-05 00:00:00,-1.2326
2000-07-06 00:00:00,-1.2972
2000-07-07 00:00:00,-1.3543
2000-07-10 00:00:00,-1.4016
2000-07-11 00:00:00,-1.4398
2000-07-12 00:00:00,-1.4676
2000-07-13 00:00:00,-1.4884
2000-07-14 00:00:00,-1.5015
2000-07-17 00:00:00,-1.5067
2000-07-18 00:00:00,-1.506
2000-07-19 00:00:00,-1.5045
2000-07-20 00:00:00,-1.4991
2000-07-21 00:00:00,-1.4914
2000-07-24 00:00:00,-1.4867
2000-07-25 00:00:00,-1.4819
2000-07-26 00:00:00,-1.4763
2000-07-27 00:00:00,-1.4673
2000-07-28 00:00:00,-1.4592
2000-07-31 00:00:00,-1.4481
2000-08-01 00:00:00,-1.4359
2000-08-02 00:00:00,-1.4246
2000-08-03 00:00:00,-1.4126
2000-08-04 00:00:00,-1.4001
2000-08-07 00:00:00,-1.3861
2000-08-08 00:00:00,-1.3717
2000-08-09 00:00:00,-1.3556
2000-08-10 00:00:00,-1.3376
2000-08-11 00:00:00,-1.3175
2000-08-14 00:00:00,-1.2961
2000-08-15 00:00:00,-1.2738
2000-08-16 00:00:00,-1.2481
2000-08-17 00:00:00,-1.2153
2000-08-18 00:00:00,-1.1789
2000-08-21 00:00:00,-1.139
2000-08-22 00:00:00,-1.0946
2000-08-23 00:00:00,-1.0431
2000-08-24 00:00:00,-0.984
2000-08-25 00:00:00,-0.9184
2000-08-28 00:00:00,-0.8467
2000-08-29 00:00:00,-0.7695
2000-08-30 00:00:00,-0.6889
2000-08-31 00:00:00,-0.6048
2000-09-01 00:00:00,-0.5157
2000-09-05 00:00:00,-0.426
2000-09-06 00:00:00,-0.344
2000-09-07 00:00:00,-0.264
2000-09-08 00:00:00,-0.1922
2000-09-11 00:00:00,-0.1289
2000-09-12 00:00:00,-0.0745
2000-09-13 00:00:00,-0.0278
2000-09-14 00:00:00,0.0103
2000-09-15 00:00:00,0.0383
2000-09-18 00:00:00,0.0667
2000-09-19 00:00:00,0.0935
2000-09-20 00:00:00,0.1199
2000-09-21 00:00:00,0.1384
2000-09-22 00:00:00,0.1435
2000-09-25 00:00:00,0.1405
2000-09-26 00:00:00,0.1283
2000-09-27 00:00:00,0.1056
2000-09-28 00:00:00,0.0827
2000-09-29 00:00:00,0.0173
2000-10-02 00:00:00,-0.0804
2000-10-03 00:00:00,-0.2026
2000-10-04 00:00:00,-0.3381
2000-10-05 00:00:00,-0.483
2000-10-06 00:00:00,-0.6316
2000-10-09 00:00:00,-0.7805
2000-10-10 00:00:00,-0.9279
2000-10-11 00:00:00,-1.0733
2000-10-12 00:00:00,-1.2136
2000-10-13 00:00:00,-1.3438
2000-10-16 00:00:00,-1.4645
2000-10-17 00:00:00,-1.5778
2000-10-18 00:00:00,-1.683
2000-10-19 00:00:00,-1.7817
2000-10-20 00:00:00,-1.8722
2000-10-23 00:00:00,-1.9528
2000-10-24 00:00:00,-2.0263
2000-10-25 00:00:00,-2.0932
2000-10-26 00:00:00,-2.1531
2000-10-27 00:00:00,-2.2057
2000-10-30 00:00:00,-2.2495
2000-10-31 00:00:00,-2.2843
2000-11-01 00:00:00,-2.3084
2000-11-02 00:00:00,-2.3188
2000-11-03 00:00:00,-2.3171
2000-11-06 00:00:00,-2.3066
2000-11-07 00:00:00,-2.2883
2000-11-08 00:00:00,-2.266
2000-11-09 00:00:00,-2.2394
2000-11-10 00:00:00,-2.2115
2000-11-13 00:00:00,-2.1812
2000-11-14 00:00:00,-2.1462
2000-11-15 00:00:00,-2.1078
2000-11-16 00:00:00,-2.0687
2000-11-17 00:00:00,-2.0299
2000-11-20 00:00:00,-1.9899
2000-11-21 00:00:00,-1.9487
2000-11-22 00:00:00,-1.9074
2000-11-24 00:00:00,-1.8631
2000-11-27 00:00:00,-1.8181
2000-11-28 00:00:00,-1.7744
2000-11-29 00:00:00,-1.733
2000-11-30 00:00:00,-1.6966
2000-12-01 00:00:00,-1.662
2000-12-04 00:00:00,-1.6299
2000-12-05 00:00:00,-1.5982
2000-12-06 00:00:00,-1.5758
2000-12-07 00:00:00,-1.5603
2000-12-08 00:00:00,-1.5469
2000-12-11 00:00:00,-1.5342
2000-12-12 00:00:00,-1.5207
2000-12-13 00:00:00,-1.5074
2000-12-14 00:00:00,-1.4957
2000-12-15 00:00:00,-1.4861
2000-12-18 00:00:00,-1.4769
2000-12-19 00:00:00,-1.4681
2000-12-20 00:00:00,-1.4577
2000-12-21 00:00:00,-1.4465
2000-12-22 00:00:00,-1.4302
2000-12-26 00:00:00,-1.4108
2000-12-27 00:00:00,-1.3879
2000-12-28 00:00:00,-1.3619
2000-12-29 00:00:00,-1.3329
2001-01-02 00:00:00,-1.3011
2001-01-03 00:00:00,-1.2604
2001-01-04 00:00:00,-1.2096
2001-01-05 00:00:00,-1.1543
2001-01-08 00:00:00,-1.0949
2001-01-09 00:00:00,-1.03
2001-01-10 00:00:00,-0.9643
2001-01-11 00:00:00,-0.8919
2001-01-12 00:00:00,-0.8192
2001-01-16 00:00:00,-0.7475
2001-01-17 00:00:00,-0.6793
2001-01-18 00:00:00,-0.6054
2001-01-19 00:00:00,-0.5244
2001-01-22 00:00:00,-0.4409
2001-01-23 00:00:00,-0.3507
2001-01-24 00:00:00,-0.2576
2001-01-25 00:00:00,-0.1673
2001-01-26 00:00:00,-0.0831
2001-01-29 00:00:00,0.005
2001-01-30 00:00:00,0.094
2001-01-31 00:00:00,0.1804
2001-02-01 00:00:00,0.2597
2001-02-02 00:00:00,0.3288
2001-02-05 00:00:00,0.3859
2001-02-06 00:00:00,0.4368
2001-02-07 00:00:00,0.4794
2001-02-08 00:00:00,0.5143
2001-02-09 00:00:00,0.5339
2001-02-12 00:00:00,0.5441
2001-02-13 00:00:00,0.5439
2001-02-14 00:00:00,0.5374
2001-02-15 00:00:00,0.5288
2001-02-16 00:00:00,0.5132
2001-02-20 00:00:00,0.4892
2001-02-21 00:00:00,0.462
2001-02-22 00:00:00,0.4325
2001-02-23 00:00:00,0.4017
2001-02-26 00:00:00,0.3736
2001-02-27 00:00:00,0.3474
2001-02-28 00:00:00,0.3177
2001-03-01 00:00:00,0.2883
2001-03-02 00:00:00,0.262
2001-03-05 00:00:00,0.2434
2001-03-06 00:00:00,0.2362
2001-03-07 00:00:00,0.236
2001-03-08 00:00:00,0.2387
2001-03-09 00:00:00,0.2408
2001-03-12 00:00:00,0.2346
2001-03-13 00:00:00,0.2267
2001-03-14 00:00:00,0.2214
2001-03-15 00:00:00,0.2147
2001-03-16 00:00:00,0.2065
2001-03-19 00:00:00,0.2015
2001-03-20 00:00:00,0.1949
2001-03-21 00:00:00,0.1891
2001-03-22 00:00:00,0.1906
2001-03-23 00:00:00,0.2033
2001-03-26 00:00:00,0.2184
2001-03-27 00:00:00,0.2395
2001-03-28 00:00:00,0.261
2001-03-29 00:00:00,0.2836
2001-03-30 00:00:00,0.304
2001-04-02 00:00:00,0.32
2001-04-03 00:00:00,0.3259
2001-04-04 00:00:00,0.3208
2001-04-05 00:00:00,0.3134
2001-04-06 00:00:00,0.3031
2001-04-09 00:00:00,0.2905
2001-04-10 00:00:00,0.2826
2001-04-11 00:00:00,0.2772
2001-04-12 00:00:00,0.2761
2001-04-16 00:00:00,0.2738
2001-04-17 00:00:00,0.266
2001-04-18 00:00:00,0.2642
2001-04-19 00:00:00,0.2792
2001-04-20 00:00:00,0.3029
2001-04-23 00:00:00,0.3287
2001-04-24 00:00:00,0.354
2001-04-25 00:00:00,0.3809
2001-04-26 00:00:00,0.4076
2001-04-27 00:00:00,0.4393
2001-04-30 00:00:00,0.4704
2001-05-01 00:00:00,0.5014
2001-05-02 00:00:00,0.5338
2001-05-03 00:00:00,0.5588
2001-05-04 00:00:00,0.5806
2001-05-07 00:00:00,0.5954
2001-05-08 00:00:00,0.6027
2001-05-09 00:00:00,0.6013
2001-05-10 00:00:00,0.5891
